case_category,repo,instance_id,condition,replication_index,clean_success,degraded_success,clean_success_degraded_failure,baseline_hard,clean_fail_to_pass_failed_count,degraded_fail_to_pass_failed_count,fail_to_pass_failed_count_delta,clean_pass_to_pass_failed_count,degraded_pass_to_pass_failed_count,pass_to_pass_failed_count_delta,total_tokens_corrected_delta,changed_file_count_delta,files_opened_before_first_edit_delta,exploration_efficiency_delta,clean_changed_files,degraded_changed_files,annotation_nodes,comparison_file,comparison_path,interpretation
clean_success_to_degraded_failure,astropy/astropy,astropy__astropy-14182,naming,0,True,False,True,False,0,1,1,0,0,0,311568,0,1,-0.1666999999999999,astropy/io/ascii/rst.py|astropy/io/ascii/tests/test_rst.py,astropy/io/ascii/rst.py|astropy/io/ascii/tests/test_rst.py,0.0,astropy_astropy-14182_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/astropy_astropy-14182_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,pydata/xarray,pydata__xarray-3677,naming,0,True,False,True,False,0,0,0,0,8,8,271338,14,2,-0.2666999999999999,xarray/core/merge.py|xarray/tests/test_merge.py,asv_bench/benchmarks/reindexing.py|xarray/backends/zarr.py|xarray/conventions.py|xarray/core/computation.py|xarray/core/concat.py|xarray/core/coordinates.py|xarray/core/dataarray.py|xarray/core/dataset.py|xarray/core/merge.py|xarray/core/parallel.py|xarray/tests/test_dataarray.py|xarray/tests/test_dataset.py|xarray/tests/test_interp.py|xarray/tests/test_merge.py|xarray/tests/test_options.py|xarray/tests/test_units.py,366.0,pydata_xarray-3677_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/pydata_xarray-3677_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,pydata/xarray,pydata__xarray-4629,naming,0,True,False,True,False,0,0,0,0,1,1,194022,0,0,0.0,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py,76.0,pydata_xarray-4629_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/pydata_xarray-4629_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,pydata/xarray,pydata__xarray-4966,naming,0,True,False,True,False,0,4,4,0,17,17,471093,2,0,0.0,xarray/coding/variables.py|xarray/tests/test_coding.py,properties/test_encode_decode.py|xarray/coding/variables.py|xarray/conventions.py|xarray/tests/test_coding.py,11.0,pydata_xarray-4966_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/pydata_xarray-4966_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,sympy/sympy,sympy__sympy-11618,naming,0,True,False,True,False,0,0,0,0,2,2,-5543,3,0,0.0,sympy/geometry/point.py|sympy/geometry/tests/test_point.py,sympy/geometry/line3d.py|sympy/geometry/plane.py|sympy/geometry/point.py|sympy/geometry/tests/test_point.py|sympy/geometry/util.py,0.0,sympy_sympy-11618_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/sympy_sympy-11618_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,sympy/sympy,sympy__sympy-12419,naming,0,True,False,True,False,0,1,1,0,7,7,202821,4,1,-0.1666999999999999,sympy/concrete/summations.py|sympy/concrete/tests/test_sums_products.py|sympy/matrices/expressions/matexpr.py|sympy/matrices/expressions/tests/test_indexing.py,sympy/concrete/summations.py|sympy/concrete/tests/test_sums_products.py|sympy/matrices/expressions/matexpr.py|sympy/matrices/expressions/matmul.py|sympy/matrices/expressions/tests/test_funcmatrix.py|sympy/matrices/expressions/tests/test_indexing.py|sympy/matrices/expressions/tests/test_inverse.py|sympy/matrices/expressions/tests/test_matexpr.py,0.0,sympy_sympy-12419_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/sympy_sympy-12419_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,psf/requests,psf__requests-1724,naming,0,True,False,True,False,0,0,0,0,1,1,170381,1,0,0.0,requests/models.py|test_requests.py,requests/models.py|requests/sessions.py|test_requests.py,0.0,psf_requests-1724_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/psf_requests-1724_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,psf/requests,psf__requests-1921,naming,0,True,False,True,False,0,1,1,0,4,4,87581,0,0,0.0,requests/sessions.py|test_requests.py,requests/sessions.py|test_requests.py,0.0,psf_requests-1921_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/psf_requests-1921_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,matplotlib/matplotlib,matplotlib__matplotlib-20676,naming,0,False,False,False,True,2,2,0,0,32,32,426868,20,0,0.0,lib/matplotlib/tests/test_widgets.py|lib/matplotlib/widgets.py,examples/widgets/annotated_cursor.py|examples/widgets/lasso_selector_demo_sgskip.py|examples/widgets/polygon_selector_demo.py|examples/widgets/radio_buttons.py|examples/widgets/textbox.py|lib/matplotlib/artist.py|lib/matplotlib/backend_bases.py|lib/matplotlib/backend_managers.py|lib/matplotlib/cbook/__init__.py|lib/matplotlib/mpl-data/images/back-symbolic.svg|lib/matplotlib/mpl-data/images/filesave-symbolic.svg|lib/matplotlib/mpl-data/images/forward-symbolic.svg|lib/matplotlib/mpl-data/images/help-symbolic.svg|lib/matplotlib/mpl-data/images/home-symbolic.svg|lib/matplotlib/mpl-data/images/move-symbolic.svg|lib/matplotlib/mpl-data/images/subplots-symbolic.svg|lib/matplotlib/mpl-data/images/zoom_to_rect-symbolic.svg|lib/matplotlib/projections/polar.py|lib/matplotlib/tests/test_cbook.py|lib/matplotlib/tests/test_widgets.py|lib/matplotlib/widgets.py|lib/mpl_toolkits/mplot3d/axis3d.py,0.0,matplotlib_matplotlib-20676_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/matplotlib_matplotlib-20676_naming_rep_0_oracle_comparison.json,"Clean already missed the target, so target failure is not new; extra regression-test failures still count as damage."
pass_to_pass_damage,matplotlib/matplotlib,matplotlib__matplotlib-23412,naming,0,True,False,True,False,0,1,1,0,21,21,1302387,34,-2,0.0635,lib/matplotlib/patches.py|lib/matplotlib/tests/test_patches.py,examples/event_handling/trifinder_event_demo.py|examples/pie_and_polar_charts/bar_of_pie.py|examples/shapes_and_collections/fancybox_demo.py|examples/text_labels_and_annotations/fancyarrow_demo.py|examples/user_interfaces/svg_tooltip_sgskip.py|lib/matplotlib/artist.py|lib/matplotlib/axes/_base.py|lib/matplotlib/collections.py|lib/matplotlib/contour.py|lib/matplotlib/figure.py|lib/matplotlib/image.py|lib/matplotlib/legend.py|lib/matplotlib/lines.py|lib/matplotlib/mpl-data/images/back-symbolic.svg|lib/matplotlib/mpl-data/images/filesave-symbolic.svg|lib/matplotlib/mpl-data/images/forward-symbolic.svg|lib/matplotlib/mpl-data/images/help-symbolic.svg|lib/matplotlib/mpl-data/images/home-symbolic.svg|lib/matplotlib/mpl-data/images/move-symbolic.svg|lib/matplotlib/mpl-data/images/subplots-symbolic.svg|lib/matplotlib/mpl-data/images/zoom_to_rect-symbolic.svg|lib/matplotlib/offsetbox.py|lib/matplotlib/patches.py|lib/matplotlib/projections/polar.py|lib/matplotlib/quiver.py|lib/matplotlib/spines.py|lib/matplotlib/table.py|lib/matplotlib/tests/test_arrow_patches.py|lib/matplotlib/tests/test_artist.py|lib/matplotlib/tests/test_patches.py|lib/matplotlib/tests/test_transforms.py|lib/matplotlib/text.py|lib/matplotlib/widgets.py|lib/mpl_toolkits/axisartist/axis_artist.py|lib/mpl_toolkits/axisartist/axisline_style.py|lib/mpl_toolkits/tests/test_axisartist_floating_axes.py,0.0,matplotlib_matplotlib-23412_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/matplotlib_matplotlib-23412_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,naming,0,True,False,True,False,0,0,0,0,1,1,244183,0,1,-0.3333,sklearn/ensemble/_iforest.py|sklearn/ensemble/tests/test_iforest.py,sklearn/ensemble/_iforest.py|sklearn/ensemble/tests/test_iforest.py,1.0,scikit-learn_scikit-learn-25931_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/scikit-learn_scikit-learn-25931_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
pass_to_pass_damage,astropy/astropy,astropy__astropy-14365,comments_docstrings,2,False,False,False,True,1,1,0,0,8,8,126758,0,0,0.0,astropy/io/ascii/qdp.py|astropy/io/ascii/tests/test_qdp.py,astropy/io/ascii/qdp.py|astropy/io/ascii/tests/test_qdp.py,0.0,astropy_astropy-14365_comments_docstrings_rep_2_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/astropy_astropy-14365_comments_docstrings_rep_2_oracle_comparison.json,"Clean already missed the target, so target failure is not new; extra regression-test failures still count as damage."
high_abs_token_delta,astropy/astropy,astropy__astropy-14539,naming,0,True,True,False,False,0,0,0,0,0,0,1323511,0,1,-0.3333,astropy/io/fits/diff.py|astropy/io/fits/tests/test_diff.py,astropy/io/fits/diff.py|astropy/io/fits/tests/test_diff.py,0.0,astropy_astropy-14539_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/astropy_astropy-14539_naming_rep_0_oracle_comparison.json,"Outcome-stable comparison; useful mainly for process, cost, and patch-shape interpretation."
high_abs_token_delta,matplotlib/matplotlib,matplotlib__matplotlib-23412,naming,0,True,False,True,False,0,1,1,0,21,21,1302387,34,-2,0.0635,lib/matplotlib/patches.py|lib/matplotlib/tests/test_patches.py,examples/event_handling/trifinder_event_demo.py|examples/pie_and_polar_charts/bar_of_pie.py|examples/shapes_and_collections/fancybox_demo.py|examples/text_labels_and_annotations/fancyarrow_demo.py|examples/user_interfaces/svg_tooltip_sgskip.py|lib/matplotlib/artist.py|lib/matplotlib/axes/_base.py|lib/matplotlib/collections.py|lib/matplotlib/contour.py|lib/matplotlib/figure.py|lib/matplotlib/image.py|lib/matplotlib/legend.py|lib/matplotlib/lines.py|lib/matplotlib/mpl-data/images/back-symbolic.svg|lib/matplotlib/mpl-data/images/filesave-symbolic.svg|lib/matplotlib/mpl-data/images/forward-symbolic.svg|lib/matplotlib/mpl-data/images/help-symbolic.svg|lib/matplotlib/mpl-data/images/home-symbolic.svg|lib/matplotlib/mpl-data/images/move-symbolic.svg|lib/matplotlib/mpl-data/images/subplots-symbolic.svg|lib/matplotlib/mpl-data/images/zoom_to_rect-symbolic.svg|lib/matplotlib/offsetbox.py|lib/matplotlib/patches.py|lib/matplotlib/projections/polar.py|lib/matplotlib/quiver.py|lib/matplotlib/spines.py|lib/matplotlib/table.py|lib/matplotlib/tests/test_arrow_patches.py|lib/matplotlib/tests/test_artist.py|lib/matplotlib/tests/test_patches.py|lib/matplotlib/tests/test_transforms.py|lib/matplotlib/text.py|lib/matplotlib/widgets.py|lib/mpl_toolkits/axisartist/axis_artist.py|lib/mpl_toolkits/axisartist/axisline_style.py|lib/mpl_toolkits/tests/test_axisartist_floating_axes.py,0.0,matplotlib_matplotlib-23412_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/matplotlib_matplotlib-23412_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
high_abs_token_delta,matplotlib/matplotlib,matplotlib__matplotlib-20676,comments_docstrings,2,False,False,False,True,2,2,0,0,0,0,1111918,8,-1,0.3333,lib/matplotlib/tests/test_widgets.py|lib/matplotlib/widgets.py,lib/matplotlib/mpl-data/images/back-symbolic.svg|lib/matplotlib/mpl-data/images/filesave-symbolic.svg|lib/matplotlib/mpl-data/images/forward-symbolic.svg|lib/matplotlib/mpl-data/images/help-symbolic.svg|lib/matplotlib/mpl-data/images/home-symbolic.svg|lib/matplotlib/mpl-data/images/move-symbolic.svg|lib/matplotlib/mpl-data/images/subplots-symbolic.svg|lib/matplotlib/mpl-data/images/zoom_to_rect-symbolic.svg|lib/matplotlib/tests/test_widgets.py|lib/matplotlib/widgets.py,0.0,matplotlib_matplotlib-20676_comments_docstrings_rep_2_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/matplotlib_matplotlib-20676_comments_docstrings_rep_2_oracle_comparison.json,Clean already missed target; do not attribute degraded target failure to the degradation.
high_abs_token_delta,sympy/sympy,sympy__sympy-12419,comments_docstrings,2,True,True,False,False,0,0,0,0,0,0,1006945,1,1,0.1666999999999999,sympy/concrete/summations.py|sympy/matrices/expressions/matexpr.py|sympy/matrices/expressions/tests/test_indexing.py,sympy/concrete/summations.py|sympy/concrete/tests/test_sums_products.py|sympy/matrices/expressions/matexpr.py|sympy/matrices/expressions/tests/test_matexpr.py,0.0,sympy_sympy-12419_comments_docstrings_rep_2_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/sympy_sympy-12419_comments_docstrings_rep_2_oracle_comparison.json,"Outcome-stable comparison; useful mainly for process, cost, and patch-shape interpretation."
high_abs_token_delta,scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,remove_tests,2,True,True,False,False,0,0,0,0,0,0,938401,1,0,0.0,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_common.py|sklearn/metrics/tests/test_ranking.py,,sklearn_remove_tests_rep_2_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/sklearn_remove_tests_rep_2_oracle_comparison.json,Remove-tests changed the visible patch/test target; oracle replay is the authoritative score.
high_abs_token_delta,pytest-dev/pytest,pytest-dev__pytest-10081,naming,0,True,True,False,False,0,0,0,0,0,0,903142,0,1,-0.3333,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,191.0,pytest-dev_pytest-10081_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10081_naming_rep_0_oracle_comparison.json,"Outcome-stable comparison; useful mainly for process, cost, and patch-shape interpretation."
high_abs_token_delta,sympy/sympy,sympy__sympy-12096,naming,0,True,True,False,False,0,0,0,0,0,0,824686,6,3,0.0357,sympy/core/function.py|sympy/core/tests/test_evalf.py,sympy/core/basic.py|sympy/core/function.py|sympy/core/tests/test_function.py|sympy/functions/elementary/exponential.py|sympy/functions/elementary/trigonometric.py|sympy/functions/special/error_functions.py|sympy/functions/special/gamma_functions.py|sympy/utilities/tests/test_lambdify.py,0.0,sympy_sympy-12096_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/sympy_sympy-12096_naming_rep_0_oracle_comparison.json,"Outcome-stable comparison; useful mainly for process, cost, and patch-shape interpretation."
high_abs_token_delta,pytest-dev/pytest,pytest-dev__pytest-10356,naming,0,False,False,False,True,1,1,0,0,0,0,-785242,1,0,0.0,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_mark.py,230.0,pytest-dev_pytest-10356_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10356_naming_rep_0_oracle_comparison.json,Clean already missed target; do not attribute degraded target failure to the degradation.
high_abs_token_delta,django/django,django__django-16502,naming,0,False,False,False,True,1,1,0,0,0,0,783991,6,0,0.0,django/core/servers/basehttp.py|tests/servers/test_basehttp.py,django/core/servers/basehttp.py|django/middleware/http.py|docs/_theme/djangodocs-epub/static/docicons-behindscenes.png|docs/_theme/djangodocs-epub/static/docicons-note.png|docs/_theme/djangodocs-epub/static/docicons-philosophy.png|docs/_theme/djangodocs-epub/static/docicons-warning.png|tests/middleware/tests.py|tests/servers/test_basehttp.py,0.0,django_django-16502_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/django_django-16502_naming_rep_0_oracle_comparison.json,Clean already missed target; do not attribute degraded target failure to the degradation.
high_abs_token_delta,django/django,django__django-16631,remove_tests,3,True,True,False,False,0,0,0,0,0,0,-675973,5,-3,0.025,django/contrib/auth/__init__.py|django/contrib/auth/base_user.py|tests/auth_tests/test_basic.py,django/contrib/auth/__init__.py|django/contrib/auth/base_user.py|docs/_theme/djangodocs-epub/static/docicons-behindscenes.png|docs/_theme/djangodocs-epub/static/docicons-note.png|docs/_theme/djangodocs-epub/static/docicons-philosophy.png|docs/_theme/djangodocs-epub/static/docicons-warning.png|tests/auth_tests/test_auth_backends.py|tests/auth_tests/test_basic.py,0.0,django_django-16631_remove_tests_rep_3_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/django_django-16631_remove_tests_rep_3_oracle_comparison.json,Remove-tests changed the visible patch/test target; oracle replay is the authoritative score.
high_abs_token_delta,pylint-dev/pylint,pylint-dev__pylint-4970,naming,0,False,False,False,True,1,1,0,0,0,0,617191,0,2,-0.1667,pylint/checkers/similar.py|tests/checkers/unittest_similar.py,pylint/checkers/similar.py|tests/checkers/unittest_similar.py,118.0,pylint-dev_pylint-4970_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/pylint-dev_pylint-4970_naming_rep_0_oracle_comparison.json,Clean already missed target; do not attribute degraded target failure to the degradation.
high_abs_token_delta,django/django,django__django-16502,comments_docstrings,2,False,False,False,True,1,1,0,0,0,0,-590973,2,2,-0.1667,django/core/servers/basehttp.py|django/middleware/http.py|tests/middleware/tests.py|tests/servers/test_basehttp.py,django/core/servers/basehttp.py|docs/_theme/djangodocs-epub/static/docicons-behindscenes.png|docs/_theme/djangodocs-epub/static/docicons-note.png|docs/_theme/djangodocs-epub/static/docicons-philosophy.png|docs/_theme/djangodocs-epub/static/docicons-warning.png|tests/servers/test_basehttp.py,0.0,django_django-16502_comments_docstrings_rep_2_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/django_django-16502_comments_docstrings_rep_2_oracle_comparison.json,Clean already missed target; do not attribute degraded target failure to the degradation.
high_abs_token_delta,sphinx-doc/sphinx,sphinx-doc__sphinx-10449,naming,0,True,True,False,False,0,0,0,0,0,0,559551,0,-1,0.0999999999999999,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,25.0,sphinx-doc_sphinx-10449_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/sphinx-doc_sphinx-10449_naming_rep_0_oracle_comparison.json,"Outcome-stable comparison; useful mainly for process, cost, and patch-shape interpretation."
high_abs_token_delta,sympy/sympy,sympy__sympy-12096,comments_docstrings,2,True,True,False,False,0,0,0,0,0,0,543894,1,-2,0.1332999999999999,sympy/core/function.py|sympy/core/tests/test_evalf.py,sympy/core/function.py|sympy/core/tests/test_evalf.py|sympy/utilities/tests/test_lambdify.py,0.0,sympy_sympy-12096_comments_docstrings_rep_2_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/sympy_sympy-12096_comments_docstrings_rep_2_oracle_comparison.json,"Outcome-stable comparison; useful mainly for process, cost, and patch-shape interpretation."
