comparison_file,instance_id,repo,condition,replication_index,clean_success,degraded_success,clean_fail_to_pass_failed_count,degraded_fail_to_pass_failed_count,clean_pass_to_pass_failed_count,degraded_pass_to_pass_failed_count,target_success_changed,fail_to_pass_failed_count_delta,pass_to_pass_failed_count_delta,clean_files_opened_before_first_edit,degraded_files_opened_before_first_edit,files_opened_before_first_edit_delta,clean_exploration_efficiency,degraded_exploration_efficiency,exploration_efficiency_delta,clean_total_tokens_corrected,degraded_total_tokens_corrected,total_tokens_corrected_delta,clean_input_tokens,degraded_input_tokens,clean_cached_input_tokens,degraded_cached_input_tokens,clean_output_tokens,degraded_output_tokens,clean_changed_file_count,degraded_changed_file_count,changed_file_count_delta,changed_file_overlap_count,clean_only_changed_file_count,degraded_only_changed_file_count,clean_changed_files,degraded_changed_files,clean_opened_files_before_first_edit,degraded_opened_files_before_first_edit,clean_dead_end_file_opens,degraded_dead_end_file_opens,dead_end_file_opens_delta
sphinx-doc_sphinx-10449_comments_docstrings_rep_2_oracle_comparison.json,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,comments_docstrings,2,True,True,0,0,0,0,False,0,0,5,6,1,0.4,0.3333,-0.0667,387291,558719,171428,383836,554545,337280,504704,3455,4174,4,3,-1,3,1,0,sphinx/ext/autodoc/typehints.py|tests/roots/test-ext-autodoc/target/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/__init__.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/target/typehints.py|sphinx/domains/python.py,tests/test_ext_autodoc_autoclass.py|sphinx/ext/autodoc/__init__.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/target/typehints.py|.pilot-venv-py39/bin/python,3,4,1
sphinx-doc_sphinx-10449_naming_rep_0_oracle_comparison.json,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,naming,0,True,True,0,0,0,0,False,0,0,5,4,-1,0.4,0.5,0.0999999999999999,416014,975565,559551,413002,970683,365824,838528,3012,4882,3,3,0,3,0,0,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_autoclass.py|tests/test_ext_autodoc_configs.py|sphinx/ext/autodoc/__init__.py|tests/roots/test-ext-autodoc/target/typehints.py,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|sphinx/ext/autodoc/__init__.py|tests/roots/test-ext-autodoc/target/typehints.py,3,2,-1
sphinx-doc_sphinx-10449_remove_tests_rep_3_oracle_comparison.json,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,remove_tests,3,True,True,0,0,0,0,False,0,0,4,6,2,0.5,0.1667,-0.3333,374935,762784,387849,371474,757914,330496,652288,3461,4870,3,4,1,3,0,1,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/roots/test-ext-autodoc/target/typehints.py|tests/test_ext_autodoc_configs.py|sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/__init__.py|sphinx/ext/autodoc/typehints.py|tests/roots/test-ext-autodoc/target/typehints.py|tests/test_ext_autodoc_autoclass.py|tests/test_ext_autodoc.py|tests/test_ext_autodoc_autofunction.py,2,5,3
sphinx-doc_sphinx-10449_type_hints_rep_1_oracle_comparison.json,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,type_hints,1,True,True,0,0,0,0,False,0,0,4,4,0,0.5,0.5,0.0,554643,864539,309896,550491,859651,505600,706304,4152,4888,3,3,0,3,0,0,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/target/typehints.py|sphinx/ext/autodoc/__init__.py,sphinx/ext/autodoc/typehints.py|sphinx/ext/autodoc/__init__.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/target/typehints.py,2,2,0
sphinx-doc_sphinx-9367_comments_docstrings_rep_2_oracle_comparison.json,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,comments_docstrings,2,True,True,0,0,0,0,False,0,0,2,2,0,1.0,1.0,0.0,246085,304223,58138,244246,302057,220288,267264,1839,2166,4,4,0,4,0,0,setup.py|sphinx/pycode/ast.py|tests/test_pycode_ast.py|tox.ini,setup.py|sphinx/pycode/ast.py|tests/test_pycode_ast.py|tox.ini,tests/test_pycode_ast.py|sphinx/pycode/ast.py,sphinx/pycode/ast.py|tests/test_pycode_ast.py,0,0,0
sphinx-doc_sphinx-9367_naming_rep_0_oracle_comparison.json,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,naming,0,True,True,0,0,0,0,False,0,0,2,3,1,1.0,0.6667,-0.3333,176505,313277,136772,174863,309837,144128,272896,1642,3440,4,4,0,4,0,0,setup.py|sphinx/pycode/ast.py|tests/test_pycode_ast.py|tox.ini,setup.py|sphinx/pycode/ast.py|tests/test_pycode_ast.py|tox.ini,tests/test_pycode_ast.py|sphinx/pycode/ast.py,sphinx/pycode/ast.py|tests/test_pycode_ast.py|.pilot-venv-py39/bin/python,0,1,1
sphinx-doc_sphinx-9367_remove_tests_rep_3_oracle_comparison.json,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,remove_tests,3,True,True,0,0,0,0,False,0,0,2,1,-1,1.0,1.0,0.0,212776,284400,71624,210909,281818,192128,214016,1867,2582,4,4,0,4,0,0,setup.py|sphinx/pycode/ast.py|tests/test_pycode_ast.py|tox.ini,setup.py|sphinx/pycode/ast.py|tests/test_pycode_ast.py|tox.ini,tests/test_pycode_ast.py|sphinx/pycode/ast.py,sphinx/pycode/ast.py,0,0,0
sphinx-doc_sphinx-9367_type_hints_rep_1_oracle_comparison.json,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,type_hints,1,True,True,0,0,0,0,False,0,0,2,2,0,1.0,1.0,0.0,174859,327878,153019,173150,325449,143616,279040,1709,2429,4,4,0,4,0,0,setup.py|sphinx/pycode/ast.py|tests/test_pycode_ast.py|tox.ini,setup.py|sphinx/pycode/ast.py|tests/test_pycode_ast.py|tox.ini,tests/test_pycode_ast.py|sphinx/pycode/ast.py,tests/test_pycode_ast.py|sphinx/pycode/ast.py,0,0,0
sphinx-doc_sphinx-9673_comments_docstrings_rep_2_oracle_comparison.json,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,comments_docstrings,2,True,True,0,0,0,0,False,0,0,3,6,3,0.6667,0.3333,-0.3334,260101,326402,66301,257729,322937,235520,247168,2372,3465,4,4,0,4,0,0,setup.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,setup.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/target/typehints.py,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/index.rst|tests/roots/test-ext-autodoc/target/typehints.py|tests/roots/test-ext-autodoc/conf.py|tests/conftest.py,1,4,3
sphinx-doc_sphinx-9673_naming_rep_0_oracle_comparison.json,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,naming,0,True,True,0,0,0,0,False,0,0,6,3,-3,0.3333,0.6667,0.3334,392263,371918,-20345,389413,368661,320000,318336,2850,3257,4,4,0,4,0,0,setup.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,setup.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/target/typehints.py|tests/roots/test-ext-autodoc/conf.py|tests/roots/test-ext-autodoc/index.rst|tests/conftest.py,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/target/typehints.py,4,1,-3
sphinx-doc_sphinx-9673_type_hints_rep_1_oracle_comparison.json,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,type_hints,1,True,True,0,0,0,0,False,0,0,4,5,1,0.5,0.4,-0.0999999999999999,718661,377250,-341411,713174,374672,646912,327040,5487,2578,4,4,0,4,0,0,setup.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,setup.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/target/typehints.py|tests/roots/test-ext-autodoc/conf.py,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|sphinx/domains/python.py|tests/roots/test-ext-autodoc/conf.py|tests/roots/test-ext-autodoc/target/typehints.py,2,3,1
sphinx-doc_sphinx-9673_remove_tests_rep_3_oracle_comparison.json,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,remove_tests,3,True,True,0,0,0,0,False,0,0,4,9,5,0.5,0.1111,-0.3889,403192,447693,44501,400005,444012,358016,412672,3187,3681,4,5,1,4,0,1,setup.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tox.ini,setup.py|sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc.py|tests/test_ext_autodoc_configs.py|tox.ini,sphinx/ext/autodoc/typehints.py|tests/test_ext_autodoc_configs.py|tests/roots/test-ext-autodoc/target/typehints.py|tests/roots/test-ext-autodoc/index.rst,sphinx/ext/autodoc/typehints.py|sphinx/ext/napoleon/docstring.py|sphinx/domains/python.py|tests/roots/test-ext-autodoc/target/typehints.py|tests/test_ext_autodoc.py|tests/test_ext_autodoc_autofunction.py|tests/roots/test-ext-autodoc/index.rst|tests/conftest.py|tests/roots/test-ext-autodoc/conf.py,2,8,6
scikit-learn_scikit-learn-25232_naming_rep_0_oracle_comparison.json,scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,naming,0,True,True,0,0,0,0,False,0,0,3,3,0,0.6667,0.6667,0.0,827002,977987,150985,820144,968893,765568,842112,6858,9094,2,3,1,2,0,1,sklearn/impute/_iterative.py|sklearn/impute/tests/test_impute.py,sklearn/impute/_base.py|sklearn/impute/_iterative.py|sklearn/impute/tests/test_impute.py,sklearn/impute/_iterative.py|sklearn/impute/tests/test_impute.py|sklearn/impute/_base.py,sklearn/impute/_iterative.py|sklearn/impute/_base.py|sklearn/impute/tests/test_impute.py,1,1,0
pydata_xarray-3677_naming_rep_0_oracle_comparison.json,pydata__xarray-3677,pydata/xarray,naming,0,True,False,0,0,0,8,True,0,8,3,5,2,0.6667,0.4,-0.2666999999999999,413059,684397,271338,410077,680597,362752,622208,2982,3800,2,16,14,2,0,14,xarray/core/merge.py|xarray/tests/test_merge.py,asv_bench/benchmarks/reindexing.py|xarray/backends/zarr.py|xarray/conventions.py|xarray/core/computation.py|xarray/core/concat.py|xarray/core/coordinates.py|xarray/core/dataarray.py|xarray/core/dataset.py|xarray/core/merge.py|xarray/core/parallel.py|xarray/tests/test_dataarray.py|xarray/tests/test_dataset.py|xarray/tests/test_interp.py|xarray/tests/test_merge.py|xarray/tests/test_options.py|xarray/tests/test_units.py,xarray/core/merge.py|xarray/tests/test_merge.py|xarray/core/dataset.py,xarray/core/merge.py|xarray/core/dataset.py|xarray/tests/test_merge.py|xarray/tests/test_dataset.py|xarray/core/dataarray.py,1,3,2
pydata_xarray-3677_type_hints_rep_1_oracle_comparison.json,pydata__xarray-3677,pydata/xarray,type_hints,1,True,True,0,0,0,0,False,0,0,5,4,-1,0.4,0.5,0.0999999999999999,508335,358785,-149550,504732,355408,452224,264064,3603,3377,2,3,1,2,0,1,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/dataset.py|xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py|xarray/core/dataset.py|xarray/core/dataarray.py|xarray/core/common.py,xarray/core/merge.py|xarray/core/dataset.py|xarray/tests/test_merge.py|xarray/tests/test_dataset.py,3,2,-1
pydata_xarray-3677_comments_docstrings_rep_2_oracle_comparison.json,pydata__xarray-3677,pydata/xarray,comments_docstrings,2,True,True,0,0,0,0,False,0,0,3,3,0,0.6667,0.6667,0.0,426628,547441,120813,423623,544192,376064,499968,3005,3249,2,3,1,2,0,1,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/dataset.py|xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/core/dataset.py|xarray/tests/test_merge.py,xarray/core/dataset.py|xarray/tests/test_merge.py|xarray/core/merge.py,1,1,0
pydata_xarray-3677_remove_tests_rep_3_oracle_comparison.json,pydata__xarray-3677,pydata/xarray,remove_tests,3,True,True,0,0,0,0,False,0,0,4,5,1,0.5,0.2,-0.3,327266,435829,108563,324379,431691,296320,393472,2887,4138,2,3,1,2,0,1,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_dataset.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/core/dataset.py|xarray/tests/test_merge.py|xarray/tests/test_dataset.py,xarray/core/merge.py|xarray/core/dataset.py|xarray/tests/test_dataset.py|xarray/tests/test_dataarray.py|xarray/core/dataarray.py,2,4,2
pydata_xarray-4629_naming_rep_0_oracle_comparison.json,pydata__xarray-4629,pydata/xarray,naming,0,True,False,0,0,0,1,True,0,1,2,2,0,1.0,1.0,0.0,204133,398155,194022,202384,395827,172672,353920,1749,2328,2,2,0,2,0,0,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/tests/test_merge.py|xarray/core/merge.py,xarray/core/merge.py|xarray/tests/test_merge.py,0,0,0
pydata_xarray-4629_type_hints_rep_1_oracle_comparison.json,pydata__xarray-4629,pydata/xarray,type_hints,1,True,True,0,0,0,0,False,0,0,2,2,0,1.0,1.0,0.0,197461,256233,58772,195312,254107,137856,230912,2149,2126,2,2,0,2,0,0,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py,0,0,0
pydata_xarray-4629_comments_docstrings_rep_2_oracle_comparison.json,pydata__xarray-4629,pydata/xarray,comments_docstrings,2,True,True,0,0,0,0,False,0,0,2,3,1,1.0,0.6667,-0.3333,172345,390754,218409,170663,387583,142592,291584,1682,3171,2,2,0,2,0,0,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py|.pilot-venv-py39/bin/python,0,1,1
