comparison_file,instance_id,repo,condition,replication_index,event_count_clean,first_edit_event_index_clean,bootstrap_event_count_clean,bootstrap_command_count_clean,bootstrap_failed_command_count_clean,bootstrap_test_command_count_clean,bootstrap_failed_test_command_count_clean,execution_event_count_clean,execution_command_count_clean,execution_failed_command_count_clean,execution_test_command_count_clean,execution_failed_test_command_count_clean,total_command_count_clean,total_test_command_count_clean,total_failed_test_command_count_clean,event_count_degraded,first_edit_event_index_degraded,bootstrap_event_count_degraded,bootstrap_command_count_degraded,bootstrap_failed_command_count_degraded,bootstrap_test_command_count_degraded,bootstrap_failed_test_command_count_degraded,execution_event_count_degraded,execution_command_count_degraded,execution_failed_command_count_degraded,execution_test_command_count_degraded,execution_failed_test_command_count_degraded,total_command_count_degraded,total_test_command_count_degraded,total_failed_test_command_count_degraded,event_count_delta,first_edit_event_index_delta,bootstrap_event_count_delta,bootstrap_command_count_delta,bootstrap_failed_command_count_delta,bootstrap_test_command_count_delta,bootstrap_failed_test_command_count_delta,execution_event_count_delta,execution_command_count_delta,execution_failed_command_count_delta,execution_test_command_count_delta,execution_failed_test_command_count_delta,total_command_count_delta,total_test_command_count_delta,total_failed_test_command_count_delta,clean_success_degraded_failure,pass_to_pass_damage,baseline_hard,total_tokens_corrected_delta,changed_file_count_delta
rep_1_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,comments_docstrings,1,77,26,26,9,1,0,0,51,18,2,4,2,27,4,2,73,41,41,15,0,0,0,32,9,3,5,3,24,5,3,-4,15,15,6,-1,0,0,-19,-9,1,1,1,-3,1,1,False,False,False,79840,0
rep_2_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,comments_docstrings,2,71,33,33,12,1,3,0,38,12,2,6,2,24,9,2,60,42,42,16,0,2,0,18,5,0,3,0,21,5,0,-11,9,9,4,-1,-1,0,-20,-7,-2,-3,-2,-3,-4,-2,False,False,False,31656,0
rep_3_remove_tests_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,remove_tests,3,62,41,41,16,0,3,0,21,6,0,3,0,22,6,0,43,23,23,8,1,0,0,20,6,1,2,1,14,2,1,-19,-18,-18,-8,1,-3,0,-1,0,1,-1,1,-8,-4,1,False,False,False,-228797,1
rep_4_remove_tests_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,remove_tests,4,47,22,22,8,0,0,0,25,7,1,4,1,15,4,1,47,28,28,10,0,3,0,19,5,0,2,0,15,5,0,0,6,6,2,0,3,0,-6,-2,-1,-2,-1,0,1,-1,False,False,False,16062,1
rep_5_type_hints_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,type_hints,5,59,33,33,14,0,0,0,26,8,0,3,0,22,3,0,44,27,27,11,0,0,0,17,6,0,2,0,17,2,0,-15,-6,-6,-3,0,0,0,-9,-2,0,-1,0,-5,-1,0,False,False,False,-41347,0
rep_6_naming_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,naming,6,49,28,28,10,1,1,0,21,5,0,3,0,15,4,0,51,25,25,10,0,0,0,26,8,1,3,1,18,3,1,2,-3,-3,0,-1,-1,0,5,3,1,0,1,3,-1,1,False,False,False,38916,0
sklearn_remove_tests_rep_2_oracle_comparison.json,scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,remove_tests,2,68,26,26,9,1,1,1,42,13,2,0,0,22,1,1,82,43,43,17,2,0,0,39,13,2,4,2,30,4,2,14,17,17,8,1,-1,-1,-3,0,0,4,2,8,3,1,False,False,False,938401,1
sklearn_rep_0_oracle_comparison.json,scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,comments_docstrings,0,67,41,41,16,0,0,0,26,7,0,3,0,23,3,0,58,42,42,17,0,1,0,16,5,0,1,0,22,2,0,-9,1,1,1,0,1,0,-10,-2,0,-2,0,-1,-1,0,False,False,False,-118306,1
sklearn_rep_1_oracle_comparison.json,scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,comments_docstrings,1,52,32,32,11,0,0,0,20,5,0,2,0,16,2,0,53,32,32,12,1,0,0,21,5,0,1,0,17,1,0,1,0,0,1,1,0,0,1,0,0,-1,0,1,-1,0,False,False,False,65029,0
sphinx-doc_sphinx-10449_comments_docstrings_rep_2_oracle_comparison.json,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,comments_docstrings,2,43,27,27,11,0,0,0,16,5,0,2,0,16,2,0,56,34,34,13,0,1,0,22,7,0,2,0,20,3,0,13,7,7,2,0,1,0,6,2,0,0,0,4,1,0,False,False,False,171428,-1
sphinx-doc_sphinx-10449_naming_rep_0_oracle_comparison.json,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,naming,0,48,30,30,12,0,0,0,18,5,0,3,0,17,3,0,72,42,42,18,0,0,0,30,10,1,4,1,28,4,1,24,12,12,6,0,0,0,12,5,1,1,1,11,1,1,False,False,False,559551,0
sphinx-doc_sphinx-10449_remove_tests_rep_3_oracle_comparison.json,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,remove_tests,3,39,23,23,9,0,0,0,16,4,0,2,0,13,2,0,65,38,38,16,0,0,0,27,9,1,3,1,25,3,1,26,15,15,7,0,0,0,11,5,1,1,1,12,1,1,False,False,False,387849,1
sphinx-doc_sphinx-10449_type_hints_rep_1_oracle_comparison.json,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,type_hints,1,57,30,30,12,0,0,0,27,9,0,2,0,21,2,0,63,35,35,15,0,0,0,28,10,1,4,1,25,4,1,6,5,5,3,0,0,0,1,1,1,2,1,4,2,1,False,False,False,309896,0
sphinx-doc_sphinx-9367_comments_docstrings_rep_2_oracle_comparison.json,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,comments_docstrings,2,32,15,15,5,0,0,0,17,6,0,1,0,11,1,0,39,22,22,8,0,0,0,17,5,0,1,0,13,1,0,7,7,7,3,0,0,0,0,-1,0,0,0,2,0,0,False,False,False,58138,0
sphinx-doc_sphinx-9367_naming_rep_0_oracle_comparison.json,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,naming,0,26,15,15,5,0,0,0,11,3,0,1,0,8,1,0,34,20,20,7,1,1,1,14,3,0,1,0,10,2,1,8,5,5,2,1,1,1,3,0,0,0,0,2,1,1,False,False,False,136772,0
sphinx-doc_sphinx-9367_remove_tests_rep_3_oracle_comparison.json,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,remove_tests,3,30,15,15,5,0,0,0,15,5,0,1,0,10,1,0,38,22,22,8,1,0,0,16,5,1,1,1,13,1,1,8,7,7,3,1,0,0,1,0,1,0,1,3,0,1,False,False,False,71624,0
sphinx-doc_sphinx-9367_type_hints_rep_1_oracle_comparison.json,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,type_hints,1,28,17,17,6,0,0,0,11,3,0,1,0,9,1,0,40,22,22,8,0,0,0,18,5,0,1,0,13,1,0,12,5,5,2,0,0,0,7,2,0,0,0,4,0,0,False,False,False,153019,0
sphinx-doc_sphinx-9673_comments_docstrings_rep_2_oracle_comparison.json,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,comments_docstrings,2,37,17,17,6,0,0,0,20,6,0,1,0,12,1,0,48,30,30,12,0,0,0,18,6,0,1,0,18,1,0,11,13,13,6,0,0,0,-2,0,0,0,0,6,0,0,False,False,False,66301,0
sphinx-doc_sphinx-9673_naming_rep_0_oracle_comparison.json,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,naming,0,45,24,24,9,0,0,0,21,5,0,1,0,14,1,0,44,26,26,10,0,0,0,18,5,0,1,0,15,1,0,-1,2,2,1,0,0,0,-3,0,0,0,0,1,0,0,False,False,False,-20345,0
sphinx-doc_sphinx-9673_type_hints_rep_1_oracle_comparison.json,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,type_hints,1,64,22,22,8,0,0,0,42,13,3,7,3,21,7,3,41,21,21,8,0,0,0,20,6,0,2,0,14,2,0,-23,-1,-1,0,0,0,0,-22,-7,-3,-5,-3,-7,-5,-3,False,False,False,-341411,0
sphinx-doc_sphinx-9673_remove_tests_rep_3_oracle_comparison.json,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,remove_tests,3,43,23,23,9,0,0,0,20,6,0,2,0,15,2,0,52,30,30,12,0,0,0,22,7,1,3,1,19,3,1,9,7,7,3,0,0,0,2,1,1,1,1,4,1,1,False,False,False,44501,1
scikit-learn_scikit-learn-25232_naming_rep_0_oracle_comparison.json,scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,naming,0,74,38,38,16,0,0,0,36,11,0,4,0,27,4,0,85,46,46,20,0,0,0,39,13,2,3,2,33,3,2,11,8,8,4,0,0,0,3,2,2,-1,2,6,-1,2,False,False,False,150985,1
pydata_xarray-3677_naming_rep_0_oracle_comparison.json,pydata__xarray-3677,pydata/xarray,naming,0,48,26,26,10,1,0,0,22,7,0,2,0,17,2,0,59,36,36,15,1,0,0,23,7,1,2,1,22,2,1,11,10,10,5,0,0,0,1,0,1,0,1,5,0,1,True,True,False,271338,14
pydata_xarray-3677_type_hints_rep_1_oracle_comparison.json,pydata__xarray-3677,pydata/xarray,type_hints,1,55,37,37,16,0,0,0,18,5,0,2,0,21,2,0,48,30,30,12,1,0,0,18,4,0,2,0,16,2,0,-7,-7,-7,-4,1,0,0,0,-1,0,0,0,-5,0,0,False,False,False,-149550,1
pydata_xarray-3677_comments_docstrings_rep_2_oracle_comparison.json,pydata__xarray-3677,pydata/xarray,comments_docstrings,2,48,30,30,12,0,0,0,18,5,0,1,0,17,1,0,43,23,23,9,0,0,0,20,6,0,2,0,15,2,0,-5,-7,-7,-3,0,0,0,2,1,0,1,0,-2,1,0,False,False,False,120813,1
pydata_xarray-3677_remove_tests_rep_3_oracle_comparison.json,pydata__xarray-3677,pydata/xarray,remove_tests,3,45,27,27,11,2,0,0,18,5,0,2,0,16,2,0,63,39,39,17,0,0,0,24,7,0,2,0,24,2,0,18,12,12,6,-2,0,0,6,2,0,0,0,8,0,0,False,False,False,108563,1
pydata_xarray-4629_naming_rep_0_oracle_comparison.json,pydata__xarray-4629,pydata/xarray,naming,0,31,17,17,6,0,0,0,14,3,0,1,0,9,1,0,36,17,17,6,1,0,0,19,5,0,2,0,11,2,0,5,0,0,0,1,0,0,5,2,0,1,0,2,1,0,True,True,False,194022,0
pydata_xarray-4629_type_hints_rep_1_oracle_comparison.json,pydata__xarray-4629,pydata/xarray,type_hints,1,35,17,17,6,1,0,0,18,6,0,2,0,12,2,0,34,18,18,6,0,0,0,16,5,0,1,0,11,1,0,-1,1,1,0,-1,0,0,-2,-1,0,-1,0,-1,-1,0,False,False,False,58772,0
pydata_xarray-4629_comments_docstrings_rep_2_oracle_comparison.json,pydata__xarray-4629,pydata/xarray,comments_docstrings,2,26,15,15,5,1,0,0,11,3,0,1,0,8,1,0,49,29,29,11,2,1,1,20,6,0,2,0,17,3,1,23,14,14,6,1,1,1,9,3,0,1,0,9,2,1,False,False,False,218409,0
pydata_xarray-4629_remove_tests_rep_3_oracle_comparison.json,pydata__xarray-4629,pydata/xarray,remove_tests,3,39,17,17,6,1,0,0,22,7,0,2,0,13,2,0,40,15,15,5,0,0,0,25,9,0,1,0,14,1,0,1,-2,-2,-1,-1,0,0,3,2,0,-1,0,1,-1,0,False,False,False,-9195,0
pydata_xarray-4966_naming_rep_0_oracle_comparison.json,pydata__xarray-4966,pydata/xarray,naming,0,56,36,36,15,3,0,0,20,6,0,2,0,21,2,0,74,42,42,18,2,0,0,32,11,0,3,0,29,3,0,18,6,6,3,-1,0,0,12,5,0,1,0,8,1,0,True,True,False,471093,2
pydata_xarray-4966_type_hints_rep_1_oracle_comparison.json,pydata__xarray-4966,pydata/xarray,type_hints,1,60,37,37,16,1,0,0,23,7,0,2,0,23,2,0,67,38,38,16,2,0,0,29,10,1,4,1,26,4,1,7,1,1,0,1,0,0,6,3,1,2,1,3,2,1,False,False,False,159467,0
pydata_xarray-4966_comments_docstrings_rep_2_oracle_comparison.json,pydata__xarray-4966,pydata/xarray,comments_docstrings,2,59,35,35,15,1,0,0,24,8,1,3,1,23,3,1,68,36,36,15,1,0,0,32,9,2,3,2,24,3,2,9,1,1,0,0,0,0,8,1,1,0,1,1,0,1,False,False,False,95433,0
pydata_xarray-4966_remove_tests_rep_3_oracle_comparison.json,pydata__xarray-4966,pydata/xarray,remove_tests,3,60,36,36,15,1,0,0,24,7,0,3,0,22,3,0,71,38,38,16,2,0,0,33,9,0,4,0,25,4,0,11,2,2,1,1,0,0,9,2,0,1,0,3,1,0,False,False,False,-1508,1
sympy_sympy-11618_naming_rep_0_oracle_comparison.json,sympy__sympy-11618,sympy/sympy,naming,0,51,24,24,9,0,0,0,27,9,1,1,1,18,1,1,52,23,23,9,0,0,0,29,10,1,1,1,19,1,1,1,-1,-1,0,0,0,0,2,1,0,0,0,1,0,0,True,True,False,-5543,3
sympy_sympy-11618_comments_docstrings_rep_2_oracle_comparison.json,sympy__sympy-11618,sympy/sympy,comments_docstrings,2,52,28,28,11,0,0,0,24,7,1,1,1,18,1,1,52,23,23,9,0,0,0,29,10,1,1,1,19,1,1,0,-5,-5,-2,0,0,0,5,3,0,0,0,1,0,0,False,False,False,-6398,0
sympy_sympy-11618_remove_tests_rep_3_oracle_comparison.json,sympy__sympy-11618,sympy/sympy,remove_tests,3,57,28,28,11,1,0,0,29,10,1,1,1,21,1,1,67,32,32,13,1,0,0,35,12,2,1,1,25,1,1,10,4,4,2,0,0,0,6,2,1,0,0,4,0,0,False,False,False,488807,0
sympy_sympy-11618_type_hints_rep_1_oracle_comparison.json,sympy__sympy-11618,sympy/sympy,type_hints,1,59,23,23,9,0,0,0,36,13,3,1,1,22,1,1,45,25,25,10,0,0,0,20,5,1,1,1,15,1,1,-14,2,2,1,0,0,0,-16,-8,-2,0,0,-7,0,0,False,False,False,-167411,0
sympy_sympy-12096_naming_rep_0_oracle_comparison.json,sympy__sympy-12096,sympy/sympy,naming,0,71,33,33,14,1,0,0,38,11,2,1,1,25,1,1,96,36,36,15,0,0,0,60,23,1,1,1,38,1,1,25,3,3,1,-1,0,0,22,12,-1,0,0,13,0,0,False,False,False,824686,6
sympy_sympy-12096_comments_docstrings_rep_2_oracle_comparison.json,sympy__sympy-12096,sympy/sympy,comments_docstrings,2,68,38,38,16,0,0,0,30,10,1,1,1,26,1,1,66,27,27,11,0,0,0,39,13,2,1,1,24,1,1,-2,-11,-11,-5,0,0,0,9,3,1,0,0,-2,0,0,False,False,False,543894,1
sympy_sympy-12096_remove_tests_rep_3_oracle_comparison.json,sympy__sympy-12096,sympy/sympy,remove_tests,3,97,54,54,24,0,0,0,43,14,2,1,1,38,1,1,74,37,37,16,0,0,0,37,12,2,1,1,28,1,1,-23,-17,-17,-8,0,0,0,-6,-2,0,0,0,-10,0,0,False,False,False,138934,1
sympy_sympy-12096_type_hints_rep_1_oracle_comparison.json,sympy__sympy-12096,sympy/sympy,type_hints,1,74,44,44,19,0,0,0,30,11,1,1,1,30,1,1,67,33,33,14,0,0,0,34,9,2,1,1,23,1,1,-7,-11,-11,-5,0,0,0,4,-2,1,0,0,-7,0,0,False,False,False,-309104,0
sympy_sympy-12419_naming_rep_0_oracle_comparison.json,sympy__sympy-12419,sympy/sympy,naming,0,115,32,32,13,0,0,0,83,32,6,1,1,45,1,1,138,52,52,22,2,1,1,86,31,1,0,0,53,1,1,23,20,20,9,2,1,1,3,-1,-5,-1,-1,8,0,0,True,True,False,202821,4
sympy_sympy-12419_comments_docstrings_rep_2_oracle_comparison.json,sympy__sympy-12419,sympy/sympy,comments_docstrings,2,83,23,23,9,0,0,0,60,22,2,1,1,31,1,1,116,23,23,9,0,0,0,93,36,5,2,2,45,2,2,33,0,0,0,0,0,0,33,14,3,1,1,14,1,1,False,False,False,1006945,1
sympy_sympy-12419_remove_tests_rep_3_oracle_comparison.json,sympy__sympy-12419,sympy/sympy,remove_tests,3,64,21,21,8,0,0,0,43,15,4,1,1,23,1,1,70,27,27,11,0,0,0,43,16,2,1,1,27,1,1,6,6,6,3,0,0,0,0,1,-2,0,0,4,0,0,False,False,False,176285,1
sympy_sympy-12419_type_hints_rep_1_oracle_comparison.json,sympy__sympy-12419,sympy/sympy,type_hints,1,121,28,28,11,0,0,0,93,34,6,1,1,45,1,1,102,19,19,7,0,0,0,83,31,4,1,1,38,1,1,-19,-9,-9,-4,0,0,0,-10,-3,-2,0,0,-7,0,0,False,False,False,124949,0
django_django-16502_naming_rep_0_oracle_comparison.json,django__django-16502,django/django,naming,0,61,33,33,13,0,0,0,28,8,3,2,2,21,2,2,75,38,38,16,0,0,0,37,12,3,1,1,28,1,1,14,5,5,3,0,0,0,9,4,0,-1,-1,7,-1,-1,False,False,True,783991,6
django_django-16502_comments_docstrings_rep_2_oracle_comparison.json,django__django-16502,django/django,comments_docstrings,2,95,36,36,15,0,0,0,59,19,3,1,1,34,1,1,68,31,31,13,0,0,0,37,10,2,1,1,23,1,1,-27,-5,-5,-2,0,0,0,-22,-9,-1,0,0,-11,0,0,False,False,True,-590973,2
django_django-16502_remove_tests_rep_3_oracle_comparison.json,django__django-16502,django/django,remove_tests,3,61,36,36,15,0,0,0,25,8,2,1,1,23,1,1,79,42,42,18,0,0,0,37,12,2,1,1,30,1,1,18,6,6,3,0,0,0,12,4,0,0,0,7,0,0,False,False,True,428916,7
django_django-16502_type_hints_rep_1_oracle_comparison.json,django__django-16502,django/django,type_hints,1,72,39,39,17,1,0,0,33,12,2,1,1,29,1,1,85,28,28,11,0,0,0,57,20,3,2,2,31,2,2,13,-11,-11,-6,-1,0,0,24,8,1,1,1,2,1,1,False,False,True,-70911,4
django_django-16527_naming_rep_0_oracle_comparison.json,django__django-16527,django/django,naming,0,49,25,25,10,0,0,0,24,8,1,1,1,18,1,1,63,38,38,16,0,0,0,25,9,2,2,2,25,2,2,14,13,13,6,0,0,0,1,1,1,1,1,7,1,1,False,False,False,238799,4
django_django-16527_comments_docstrings_rep_2_oracle_comparison.json,django__django-16527,django/django,comments_docstrings,2,37,23,23,9,0,0,0,14,4,1,1,1,13,1,1,77,54,54,24,0,0,0,23,8,1,0,0,32,0,0,40,31,31,15,0,0,0,9,4,0,-1,-1,19,-1,-1,False,False,False,317279,5
django_django-16527_remove_tests_rep_3_oracle_comparison.json,django__django-16527,django/django,remove_tests,3,62,41,41,18,1,0,0,21,7,1,1,1,25,1,1,75,46,46,20,0,0,0,29,10,1,1,1,30,1,1,13,5,5,2,-1,0,0,8,3,0,0,0,5,0,0,False,False,False,390433,5
django_django-16527_type_hints_rep_1_oracle_comparison.json,django__django-16527,django/django,type_hints,1,70,55,55,25,0,0,0,15,4,1,1,1,29,1,1,59,36,36,15,0,0,0,23,8,2,2,2,23,2,2,-11,-19,-19,-10,0,0,0,8,4,1,1,1,-6,1,1,False,False,False,-269709,4
django_django-16631_naming_rep_0_oracle_comparison.json,django__django-16631,django/django,naming,0,70,31,31,13,0,0,0,39,10,1,1,1,23,1,1,61,29,29,12,0,0,0,32,10,1,1,1,22,1,1,-9,-2,-2,-1,0,0,0,-7,0,0,0,0,-1,0,0,False,False,False,-202482,4
django_django-16631_comments_docstrings_rep_2_oracle_comparison.json,django__django-16631,django/django,comments_docstrings,2,85,33,33,14,0,0,0,52,15,1,1,1,29,1,1,102,49,49,21,0,0,0,53,17,2,1,1,38,1,1,17,16,16,7,0,0,0,1,2,1,0,0,9,0,0,False,False,False,203218,3
django_django-16631_remove_tests_rep_3_oracle_comparison.json,django__django-16631,django/django,remove_tests,3,86,32,32,13,0,0,0,54,16,1,1,1,29,1,1,74,36,36,15,0,0,0,38,11,1,1,1,26,1,1,-12,4,4,2,0,0,0,-16,-5,0,0,0,-3,0,0,False,False,False,-675973,5
django_django-16631_type_hints_rep_1_oracle_comparison.json,django__django-16631,django/django,type_hints,1,81,37,37,16,0,0,0,44,13,1,1,1,29,1,1,93,32,32,13,0,0,0,61,21,3,1,1,34,1,1,12,-5,-5,-3,0,0,0,17,8,2,0,0,5,0,0,False,False,False,271561,4
psf_requests-1142_naming_rep_0_oracle_comparison.json,psf__requests-1142,psf/requests,naming,0,49,28,28,11,0,0,0,21,6,1,2,1,17,2,1,59,30,30,12,0,0,0,29,9,1,3,1,21,3,1,10,2,2,1,0,0,0,8,3,0,1,0,4,1,0,True,False,False,165431,0
psf_requests-1142_comments_docstrings_rep_2_oracle_comparison.json,psf__requests-1142,psf/requests,comments_docstrings,2,55,34,34,14,0,2,0,21,6,1,2,1,20,4,1,72,34,34,14,0,0,0,38,12,1,4,1,26,4,1,17,0,0,0,0,-2,0,17,6,0,2,0,6,0,0,False,False,True,396950,0
psf_requests-1142_remove_tests_rep_3_oracle_comparison.json,psf__requests-1142,psf/requests,remove_tests,3,60,29,29,12,0,0,0,31,10,0,2,0,22,2,0,59,29,29,12,1,0,0,30,10,0,2,0,22,2,0,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,False,False,False,-10272,0
psf_requests-1142_type_hints_rep_1_oracle_comparison.json,psf__requests-1142,psf/requests,type_hints,1,42,23,23,9,0,0,0,19,6,1,2,1,15,2,1,35,17,17,6,0,0,0,18,5,1,2,1,11,2,1,-7,-6,-6,-3,0,0,0,-1,-1,0,0,0,-4,0,0,False,False,True,-10214,0
psf_requests-1724_naming_rep_0_oracle_comparison.json,psf__requests-1724,psf/requests,naming,0,48,29,29,12,0,1,0,19,5,1,2,1,17,3,1,58,38,38,16,1,0,0,20,6,0,1,0,22,1,0,10,9,9,4,1,-1,0,1,1,-1,-1,-1,5,-2,-1,True,True,False,170381,1
psf_requests-1724_comments_docstrings_rep_2_oracle_comparison.json,psf__requests-1724,psf/requests,comments_docstrings,2,56,34,34,14,0,0,0,22,7,0,2,0,21,2,0,62,33,33,14,0,0,0,29,10,1,2,0,24,2,0,6,-1,-1,0,0,0,0,7,3,1,0,0,3,0,0,False,False,False,298006,1
psf_requests-1724_remove_tests_rep_3_oracle_comparison.json,psf__requests-1724,psf/requests,remove_tests,3,54,37,37,16,0,0,0,17,6,0,1,0,22,1,0,40,27,27,11,0,1,0,13,4,1,1,1,15,2,1,-14,-10,-10,-5,0,1,0,-4,-2,1,0,1,-7,1,1,False,False,False,-210068,0
psf_requests-1724_type_hints_rep_1_oracle_comparison.json,psf__requests-1724,psf/requests,type_hints,1,57,37,37,16,0,0,0,20,6,0,1,0,22,1,0,55,33,33,14,0,0,0,22,7,0,2,0,21,2,0,-2,-4,-4,-2,0,0,0,2,1,0,1,0,-1,1,0,False,False,False,19224,0
psf_requests-1921_naming_rep_0_oracle_comparison.json,psf__requests-1921,psf/requests,naming,0,48,25,25,10,0,0,0,23,6,1,3,1,16,3,1,55,29,29,12,0,0,0,26,7,1,2,1,19,2,1,7,4,4,2,0,0,0,3,1,0,-1,0,3,-1,0,True,True,False,87581,0
