instance_id,repo,base_commit,changed_source_files_profile,changed_test_files_profile,overall_status,eligible_conditions,test_signal_level,type_hints_signal_level,type_hints_rationale,annotation_nodes,naming_signal_level,naming_rationale,naming_candidates,comments_signal_level,comments_docstrings_rationale,docstring_count,comment_count,remove_tests_signal_level,decision_summary,profile_missing
psf__requests-1142,psf/requests,22623bd8c265b78b161542663ee980738441c307,requests/models.py,test_requests.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 217 local rename candidates before safety filtering.,217.0,high,Target surface has 31 docstrings and 62 comments.,31.0,62.0,high,Selected as a psf/requests task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
psf__requests-1724,psf/requests,1ba83c47ce7b177efe90d5f51f7760680f72eda0,requests/sessions.py,test_requests.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 317 local rename candidates before safety filtering.,317.0,high,Target surface has 29 docstrings and 90 comments.,29.0,90.0,high,Selected as a psf/requests task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
psf__requests-1921,psf/requests,3c88e520da24ae6f736929a750876e7654accc3d,requests/sessions.py,test_requests.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 396 local rename candidates before safety filtering.,396.0,high,Target surface has 41 docstrings and 98 comments.,41.0,98.0,high,Selected as a psf/requests task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
pydata__xarray-3677,pydata/xarray,ef6e6a7b86f8479b9a1fecf15ad5b88a2326b31e,xarray/core/dataset.py,xarray/tests/test_merge.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 366 annotation nodes.,366.0,high,Target surface has 195 local rename candidates before safety filtering.,195.0,high,Target surface has 108 docstrings and 128 comments.,108.0,128.0,high,Selected as a pydata/xarray task for the replacement third Phase 1 repo after signal screening and successful host-local gold preflight.,
pydata__xarray-4629,pydata/xarray,a41edc7bf5302f2ea327943c0c48c532b12009bc,xarray/core/merge.py,xarray/tests/test_merge.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 76 annotation nodes.,76.0,high,Target surface has 110 local rename candidates before safety filtering.,110.0,high,Target surface has 19 docstrings and 20 comments.,19.0,20.0,high,Selected as a pydata/xarray task for the replacement third Phase 1 repo after signal screening and successful host-local gold preflight.,
pydata__xarray-4966,pydata/xarray,37522e991a32ee3c0ad1a5ff8afe8e3eb1885550,xarray/coding/variables.py,xarray/tests/test_coding.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 11 annotation nodes.,11.0,high,Target surface has 51 local rename candidates before safety filtering.,51.0,high,Target surface has 12 docstrings and 20 comments.,12.0,20.0,high,Selected as a pydata/xarray task for the replacement third Phase 1 repo after signal screening and successful host-local gold preflight.,
pylint-dev__pylint-4604,pylint-dev/pylint,1e55ae64624d28c5fe8b63ad7979880ee2e6ef3f,pylint/checkers/variables.py|pylint/constants.py,tests/checkers/unittest_variables.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 3 annotation nodes.,3.0,high,Target surface has 419 local rename candidates before safety filtering.,419.0,high,Target surface has 49 docstrings and 311 comments.,49.0,311.0,high,Selected as a pylint-dev/pylint task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
pylint-dev__pylint-4970,pylint-dev/pylint,40cc2ffd7887959157aaf469e09585ec2be7f528,pylint/checkers/similar.py,tests/checkers/unittest_similar.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 118 annotation nodes.,118.0,high,Target surface has 303 local rename candidates before safety filtering.,303.0,high,Target surface has 20 docstrings and 70 comments.,20.0,70.0,high,Selected as a pylint-dev/pylint task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
pylint-dev__pylint-6903,pylint-dev/pylint,ca80f03a43bc39e4cc2c67dc99817b3c9f13b8a6,pylint/lint/run.py,tests/test_pylint_runners.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 19 annotation nodes.,19.0,high,Target surface has 42 local rename candidates before safety filtering.,42.0,high,Target surface has 2 docstrings and 28 comments.,2.0,28.0,high,Selected as a pylint-dev/pylint task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
pytest-dev__pytest-10081,pytest-dev/pytest,da9a2b584eb7a6c7e924b2621ed0ddaeca0a7bea,src/_pytest/unittest.py,testing/test_unittest.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 191 annotation nodes across source/test files.,191.0,high,Target surface has 184 local rename candidates before safety filtering.,184.0,high,Target surface has 14 docstrings and 52 comments.,14.0,52.0,high,Selected as one of the two additional pytest tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,
pytest-dev__pytest-10356,pytest-dev/pytest,3c1534944cbd34e8a41bc9e76818018fadefc9a1,src/_pytest/mark/structures.py,testing/test_mark.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 230 annotation nodes across source/test files.,230.0,high,Target surface has 202 local rename candidates before safety filtering.,202.0,high,Target surface has 28 docstrings and 73 comments.,28.0,73.0,high,Selected as one of the two additional pytest tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,
pytest-dev__pytest-7432,,,,,,,,,,,,,,,,,,,,True
scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,f7eea978097085a6781a0e92fc14ba7712a52d75,sklearn/impute/_iterative.py,sklearn/impute/tests/test_impute.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 1 annotation node(s); weak but nonzero type-hint signal.,1.0,high,Target surface has 336 local rename candidates before safety filtering.,336.0,high,Target surface has 20 docstrings and 146 comments.,20.0,146.0,high,Selected as one of the two additional scikit-learn tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,
scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,e3d1f9ac39e4bf0f31430e779acc50fb05fe1b64,sklearn/ensemble/_iforest.py,sklearn/ensemble/tests/test_iforest.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 1 annotation node(s); weak but nonzero type-hint signal.,1.0,high,Target surface has 92 local rename candidates before safety filtering.,92.0,high,Target surface has 17 docstrings and 69 comments.,17.0,69.0,high,Selected as one of the two additional scikit-learn tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,
scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,10dbc142bd17ccf7bd38eec2ac04b52ce0d1009e,sklearn/feature_selection/_sequential.py,sklearn/feature_selection/tests/test_sequential.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 1 annotation nodes.,1.0,high,Target surface has 105 local rename candidates before safety filtering.,105.0,high,Target surface has 8 docstrings and 31 comments.,8.0,31.0,high,Selected as a scikit-learn/scikit-learn task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,e886ce4e1444c61b865e7839c9cff5464ee20ace,sklearn/metrics/_ranking.py,sklearn/metrics/tests/test_ranking.py,GO,comments_docstrings|remove_tests,high,low,"The touched ranking logic is effectively untyped, so a type-hint condition would remove little useful information.",,medium,"Threshold semantics matter here, but aggressive renaming could become unfair because the task hinges on numerically meaningful identifiers such as `thresholds`, `fpr`, and `tpr`.",,high,"The touched source diff sits directly inside the `roc_curve` docstring and adjacent explanatory notes, making comments_docstrings a strong and very fair information-removal condition.",,,high,"Choose scikit-learn__scikit-learn-26194 as the new oracle-backed second task because it keeps the bounded file-scoped oracle, improves PASS_TO_PASS coverage, and has a very strong comments_docstrings surface in the touched roc_curve documentation.",
sphinx-doc__sphinx-10449,sphinx-doc/sphinx,36367765fe780f962bba861bf368a765380bbc68,sphinx/ext/autodoc/typehints.py,tests/test_ext_autodoc_configs.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 25 annotation nodes.,25.0,high,Target surface has 129 local rename candidates before safety filtering.,129.0,medium,Target surface has 3 docstrings and 48 comments.,3.0,48.0,high,Selected as a Sphinx task for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,
sphinx-doc__sphinx-9367,sphinx-doc/sphinx,6918e69600810a4664e53653d6ff0290c3c4a788,sphinx/pycode/ast.py,tests/test_pycode_ast.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 67 annotation nodes.,67.0,high,Target surface has 49 local rename candidates before safety filtering.,49.0,high,Target surface has 5 docstrings and 59 comments.,5.0,59.0,high,Selected as a Sphinx task for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,
sphinx-doc__sphinx-9673,sphinx-doc/sphinx,5fb51fb1467dc5eea7505402c3c5d9b378d3b441,sphinx/ext/autodoc/typehints.py,tests/test_ext_autodoc_configs.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 24 annotation nodes.,24.0,high,Target surface has 115 local rename candidates before safety filtering.,115.0,medium,Target surface has 3 docstrings and 40 comments.,3.0,40.0,high,Selected as a Sphinx task for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,
sympy__sympy-11618,sympy/sympy,360290c4c401e386db60723ddb0109ed499c9f6e,sympy/geometry/point.py,sympy/geometry/tests/test_point.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 213 local rename candidates before safety filtering.,213.0,high,Target surface has 42 docstrings and 36 comments.,42.0,36.0,high,Selected as a sympy/sympy task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
sympy__sympy-12096,sympy/sympy,d7c3045115693e887bcd03599b7ca4650ac5f2cb,sympy/core/function.py,sympy/utilities/tests/test_lambdify.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 651 local rename candidates before safety filtering.,651.0,high,Target surface has 45 docstrings and 238 comments.,45.0,238.0,high,Selected as a sympy/sympy task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
sympy__sympy-12419,sympy/sympy,479939f8c65c8c2908bbedc959549a257a7c0b0b,sympy/matrices/expressions/matexpr.py,sympy/matrices/expressions/tests/test_matexpr.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 204 local rename candidates before safety filtering.,204.0,high,Target surface has 7 docstrings and 9 comments.,7.0,9.0,high,Selected as a sympy/sympy task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
