repo,instance_id,condition,files_opened_before_first_edit_delta
pydata/xarray,pydata__xarray-4629,remove_tests,-1
pydata/xarray,pydata__xarray-4966,naming,0
pydata/xarray,pydata__xarray-4966,type_hints,0
pydata/xarray,pydata__xarray-4966,comments_docstrings,1
pydata/xarray,pydata__xarray-4966,remove_tests,1
sympy/sympy,sympy__sympy-11618,naming,0
sympy/sympy,sympy__sympy-11618,comments_docstrings,0
sympy/sympy,sympy__sympy-11618,remove_tests,-1
sympy/sympy,sympy__sympy-11618,type_hints,0
sympy/sympy,sympy__sympy-12096,naming,3
sympy/sympy,sympy__sympy-12096,comments_docstrings,-2
sympy/sympy,sympy__sympy-12096,remove_tests,-2
sympy/sympy,sympy__sympy-12096,type_hints,3
sympy/sympy,sympy__sympy-12419,naming,1
sympy/sympy,sympy__sympy-12419,comments_docstrings,1
sympy/sympy,sympy__sympy-12419,remove_tests,1
sympy/sympy,sympy__sympy-12419,type_hints,0
django/django,django__django-16502,naming,0
django/django,django__django-16502,comments_docstrings,2
django/django,django__django-16502,remove_tests,-1
django/django,django__django-16502,type_hints,1
django/django,django__django-16527,naming,0
django/django,django__django-16527,comments_docstrings,1
django/django,django__django-16527,remove_tests,0
django/django,django__django-16527,type_hints,-2
django/django,django__django-16631,naming,1
django/django,django__django-16631,comments_docstrings,3
django/django,django__django-16631,remove_tests,-3
django/django,django__django-16631,type_hints,1
psf/requests,psf__requests-1142,naming,2
psf/requests,psf__requests-1142,comments_docstrings,0
psf/requests,psf__requests-1142,remove_tests,1
psf/requests,psf__requests-1142,type_hints,0
psf/requests,psf__requests-1724,naming,0
psf/requests,psf__requests-1724,comments_docstrings,0
psf/requests,psf__requests-1724,remove_tests,1
psf/requests,psf__requests-1724,type_hints,1
psf/requests,psf__requests-1921,naming,0
psf/requests,psf__requests-1921,comments_docstrings,1
psf/requests,psf__requests-1921,remove_tests,0
psf/requests,psf__requests-1921,type_hints,-1
matplotlib/matplotlib,matplotlib__matplotlib-20676,naming,0
matplotlib/matplotlib,matplotlib__matplotlib-20676,comments_docstrings,-1
matplotlib/matplotlib,matplotlib__matplotlib-20676,remove_tests,-3
matplotlib/matplotlib,matplotlib__matplotlib-20676,type_hints,0
matplotlib/matplotlib,matplotlib__matplotlib-23412,naming,-2
matplotlib/matplotlib,matplotlib__matplotlib-23412,type_hints,-1
matplotlib/matplotlib,matplotlib__matplotlib-23412,comments_docstrings,1
matplotlib/matplotlib,matplotlib__matplotlib-23412,remove_tests,5
matplotlib/matplotlib,matplotlib__matplotlib-26291,naming,0
matplotlib/matplotlib,matplotlib__matplotlib-26291,type_hints,-1
matplotlib/matplotlib,matplotlib__matplotlib-26291,comments_docstrings,0
matplotlib/matplotlib,matplotlib__matplotlib-26291,remove_tests,-1
pylint-dev/pylint,pylint-dev__pylint-4970,naming,2
pylint-dev/pylint,pylint-dev__pylint-4970,type_hints,0
pylint-dev/pylint,pylint-dev__pylint-4970,comments_docstrings,2
pylint-dev/pylint,pylint-dev__pylint-4970,remove_tests,-1
pylint-dev/pylint,pylint-dev__pylint-6903,naming,1
pylint-dev/pylint,pylint-dev__pylint-6903,type_hints,0
pylint-dev/pylint,pylint-dev__pylint-6903,comments_docstrings,-1
pylint-dev/pylint,pylint-dev__pylint-6903,remove_tests,2
pylint-dev/pylint,pylint-dev__pylint-4604,naming,1
pylint-dev/pylint,pylint-dev__pylint-4604,type_hints,-2
pylint-dev/pylint,pylint-dev__pylint-4604,comments_docstrings,1
pylint-dev/pylint,pylint-dev__pylint-4604,remove_tests,-1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,type_hints,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,comments_docstrings,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,remove_tests,2
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,naming,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,type_hints,2
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,comments_docstrings,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,remove_tests,-1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,naming,-1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,type_hints,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,comments_docstrings,-3
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,remove_tests,3
astropy/astropy,astropy__astropy-14365,naming,0
astropy/astropy,astropy__astropy-14365,type_hints,0
astropy/astropy,astropy__astropy-14365,comments_docstrings,0
astropy/astropy,astropy__astropy-14365,remove_tests,1
astropy/astropy,astropy__astropy-14182,naming,1
astropy/astropy,astropy__astropy-14182,type_hints,0
astropy/astropy,astropy__astropy-14182,comments_docstrings,2
astropy/astropy,astropy__astropy-14182,remove_tests,1
astropy/astropy,astropy__astropy-14539,naming,1
astropy/astropy,astropy__astropy-14539,type_hints,0
astropy/astropy,astropy__astropy-14539,comments_docstrings,0
astropy/astropy,astropy__astropy-14539,remove_tests,0
