repo,instance_id,condition,exploration_efficiency_delta
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,naming,0.0667
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,type_hints,-0.0475999999999999
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,comments_docstrings,0.2143
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,remove_tests,-0.2143
astropy/astropy,astropy__astropy-14365,naming,0.0
astropy/astropy,astropy__astropy-14365,type_hints,0.0
astropy/astropy,astropy__astropy-14365,comments_docstrings,0.0
astropy/astropy,astropy__astropy-14365,remove_tests,-0.6667000000000001
astropy/astropy,astropy__astropy-14182,naming,-0.1666999999999999
astropy/astropy,astropy__astropy-14182,type_hints,0.0
astropy/astropy,astropy__astropy-14182,comments_docstrings,-0.1667
astropy/astropy,astropy__astropy-14182,remove_tests,-0.3
astropy/astropy,astropy__astropy-14539,naming,-0.3333
astropy/astropy,astropy__astropy-14539,type_hints,0.0
astropy/astropy,astropy__astropy-14539,comments_docstrings,0.0
astropy/astropy,astropy__astropy-14539,remove_tests,-0.5
