repo,instance_id,condition,changed_file_count_delta
pylint-dev/pylint,pylint-dev__pylint-6903,comments_docstrings,3
pylint-dev/pylint,pylint-dev__pylint-6903,remove_tests,2
pylint-dev/pylint,pylint-dev__pylint-4604,naming,1
pylint-dev/pylint,pylint-dev__pylint-4604,type_hints,0
pylint-dev/pylint,pylint-dev__pylint-4604,comments_docstrings,2
pylint-dev/pylint,pylint-dev__pylint-4604,remove_tests,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,type_hints,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,comments_docstrings,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,remove_tests,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,naming,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,type_hints,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,comments_docstrings,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,remove_tests,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,naming,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,type_hints,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,comments_docstrings,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,remove_tests,0
astropy/astropy,astropy__astropy-14365,naming,0
astropy/astropy,astropy__astropy-14365,type_hints,0
astropy/astropy,astropy__astropy-14365,comments_docstrings,0
astropy/astropy,astropy__astropy-14365,remove_tests,-1
astropy/astropy,astropy__astropy-14182,naming,0
astropy/astropy,astropy__astropy-14182,type_hints,0
astropy/astropy,astropy__astropy-14182,comments_docstrings,0
astropy/astropy,astropy__astropy-14182,remove_tests,0
astropy/astropy,astropy__astropy-14539,naming,0
astropy/astropy,astropy__astropy-14539,type_hints,0
astropy/astropy,astropy__astropy-14539,comments_docstrings,0
astropy/astropy,astropy__astropy-14539,remove_tests,0
