repo,repo_full,candidate_id,condition,status,completion_reason,fail_to_pass_passed,fail_to_pass_total,fail_to_pass_failed,pass_to_pass_passed,pass_to_pass_total,pass_to_pass_failed,failure_mode,agent_duration_seconds,oracle_duration_seconds,total_duration_seconds,edits_applied,files_opened_before_first_edit,exploration_efficiency,total_tokens_including_cache,uncached_input_plus_output_tokens,codex_input_tokens,codex_cached_input_tokens,codex_output_tokens,result_path,metrics_path,generated_at,agent_stdout_path,agent_stdout_present,jsonl_event_count,jsonl_parse_errors,first_edit_event_index,first_edit_detected_from_stdout,command_count_before_first_edit,command_count_after_first_edit,agent_message_count_before_first_edit,agent_message_count_after_first_edit,edit_event_count_before_first_edit,edit_event_count_after_first_edit,validation_test_command_count,validation_test_command_count_before_first_edit,validation_test_command_count_after_first_edit,failed_validation_test_command_count,failed_command_count,edit_test_edit_loop_proxy_count,failed_validation_followed_by_edit_count,command_failure_rate,validation_failure_rate
cattrs,python-attrs/cattrs,cattrs_pr_142,clean,FAIL,oracle_fail,4,4,0,11,12,1,regression_failure,468.4700543880463,24.705698251724243,493.1757526397705,3,6,0.5,2097843,205363,2086780,1892480,11063,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/clean/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/clean/rep_1/metrics.json,2026-04-23T22:28:21.574521+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/clean/rep_1/logs/agent_stdout.log,True,100,0,51,True,14,16,3,6,0,5,12,1,11,6,7,5,3,0.23333333333333334,0.5
cattrs,python-attrs/cattrs,cattrs_pr_142,naming,SUCCESS,oracle_pass,4,4,0,12,12,0,success,296.32966351509094,23.26811790466309,319.597781419754,5,7,0.7143,1533055,172415,1521925,1360640,11130,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/naming/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/naming/rep_1/metrics.json,2026-04-23T22:42:32.529677+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/naming/rep_1/logs/agent_stdout.log,True,109,0,46,True,15,18,4,8,0,9,7,0,7,4,5,5,4,0.15151515151515152,0.5714285714285714
cattrs,python-attrs/cattrs,cattrs_pr_142,type_hints,FAIL,oracle_fail,4,4,0,11,12,1,regression_failure,414.129745721817,117.17099046707152,531.3007361888885,5,5,0.8,2417754,180058,2405756,2237696,11998,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/type_hints/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/type_hints/rep_1/metrics.json,2026-04-23T22:37:12.901413+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/type_hints/rep_1/logs/agent_stdout.log,True,112,0,36,True,11,25,4,7,0,9,7,2,5,4,6,3,4,0.16666666666666666,0.5714285714285714
cattrs,python-attrs/cattrs,cattrs_pr_142,comments_docstrings,FAIL,oracle_fail,3,4,1,12,12,0,focal_miss,489.1710352897644,23.51122736930847,512.6822626590729,3,8,0.375,1687226,196922,1674569,1490304,12657,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/comments_docstrings/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/comments_docstrings/rep_1/metrics.json,2026-04-23T22:51:05.240096+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/comments_docstrings/rep_1/logs/agent_stdout.log,True,98,0,44,True,13,19,4,6,0,4,7,0,7,3,4,4,3,0.125,0.42857142857142855
cattrs,python-attrs/cattrs,cattrs_pr_142,remove_tests,SUCCESS,oracle_pass,4,4,0,12,12,0,success,296.5672605037689,15.861512184143066,312.428772687912,2,4,0.5,1398654,132990,1388952,1265664,9702,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/remove_tests/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/remove_tests/rep_1/metrics.json,2026-04-23T22:56:17.694655+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_142/codex_cli/remove_tests/rep_1/logs/agent_stdout.log,True,96,0,62,True,28,12,4,5,0,2,4,0,4,2,4,0,0,0.1,0.5
click,pallets/click,click_pr_2816,clean,FAIL,oracle_fail,0,1,1,50,50,0,fail_to_pass_failed,236.65202236175537,4.862809896469116,241.5148322582245,4,2,1.0,1139836,86268,1130086,1053568,9750,runs/click/click_pr_2816/codex_cli/clean/rep_1/result.json,runs/click/click_pr_2816/codex_cli/clean/rep_1/metrics.json,2026-04-27T19:58:58.541184+00:00,runs/click/click_pr_2816/codex_cli/clean/rep_1/logs/agent_stdout.log,True,95,0,38,True,16,19,4,4,0,7,10,1,9,3,7,8,3,0.2,0.3
click,pallets/click,click_pr_2816,naming,FAIL,oracle_fail,0,1,1,4,50,46,fail_to_pass_failed+pass_to_pass_failed,238.1255989074707,8.328253507614136,246.45385241508484,4,4,0.5,1171874,95138,1161314,1076736,10560,runs/click/click_pr_2816/codex_cli/naming/rep_1/result.json,runs/click/click_pr_2816/codex_cli/naming/rep_1/metrics.json,2026-04-27T20:06:04.885288+00:00,runs/click/click_pr_2816/codex_cli/naming/rep_1/logs/agent_stdout.log,True,101,0,49,True,18,19,3,5,0,4,7,1,6,3,6,4,3,0.16216216216216217,0.42857142857142855
click,pallets/click,click_pr_2816,type_hints,SUCCESS,oracle_pass,1,1,0,50,50,0,success,174.59453749656677,5.240379571914673,179.83491706848145,4,4,0.5,723718,72070,716400,651648,7318,runs/click/click_pr_2816/codex_cli/type_hints/rep_1/result.json,runs/click/click_pr_2816/codex_cli/type_hints/rep_1/metrics.json,2026-04-27T20:01:58.404605+00:00,runs/click/click_pr_2816/codex_cli/type_hints/rep_1/logs/agent_stdout.log,True,76,0,63,True,26,4,5,2,0,1,4,2,2,1,2,0,1,0.06666666666666667,0.25
click,pallets/click,click_pr_2816,comments_docstrings,SUCCESS,oracle_pass,1,1,0,50,50,0,success,149.61472749710083,4.9046666622161865,154.51939415931702,4,3,1.0,604633,51673,598347,552960,6286,runs/click/click_pr_2816/codex_cli/comments_docstrings/rep_1/result.json,runs/click/click_pr_2816/codex_cli/comments_docstrings/rep_1/metrics.json,2026-04-27T20:08:39.431372+00:00,runs/click/click_pr_2816/codex_cli/comments_docstrings/rep_1/logs/agent_stdout.log,True,61,0,36,True,14,6,6,2,0,5,4,2,2,1,3,0,1,0.15,0.25
click,pallets/click,click_pr_2816,remove_tests,SUCCESS,oracle_pass,1,1,0,50,50,0,success,203.29900908470157,4.794205665588379,208.09321475028992,4,5,0.4,880378,66554,872615,813824,7763,runs/click/click_pr_2816/codex_cli/remove_tests/rep_1/result.json,runs/click/click_pr_2816/codex_cli/remove_tests/rep_1/metrics.json,2026-04-27T20:12:07.551107+00:00,runs/click/click_pr_2816/codex_cli/remove_tests/rep_1/logs/agent_stdout.log,True,100,0,42,True,18,22,4,5,0,4,6,0,6,2,3,5,2,0.075,0.3333333333333333
click,pallets/click,click_pr_2846,clean,SUCCESS,oracle_pass,3,3,0,47,47,0,success,109.59225058555604,5.500307559967041,115.09255814552309,3,4,0.5,399842,47202,395643,352640,4199,runs/click/click_pr_2846/codex_cli/clean/rep_1/result.json,runs/click/click_pr_2846/codex_cli/clean/rep_1/metrics.json,2026-04-27T19:45:35.590232+00:00,runs/click/click_pr_2846/codex_cli/clean/rep_1/logs/agent_stdout.log,True,49,0,23,True,9,7,3,5,0,3,4,0,4,1,1,0,0,0.0625,0.25
click,pallets/click,click_pr_2846,naming,SUCCESS,oracle_pass,3,3,0,47,47,0,success,202.570258140564,7.567600250244141,210.1378583908081,4,4,0.5,827656,81672,819961,745984,7695,runs/click/click_pr_2846/codex_cli/naming/rep_1/result.json,runs/click/click_pr_2846/codex_cli/naming/rep_1/metrics.json,2026-04-27T19:50:30.955751+00:00,runs/click/click_pr_2846/codex_cli/naming/rep_1/logs/agent_stdout.log,True,67,0,34,True,14,7,4,4,0,7,8,3,5,5,6,4,5,0.2857142857142857,0.625
click,pallets/click,click_pr_2846,type_hints,SUCCESS,oracle_pass,3,3,0,47,47,0,success,80.08612155914307,5.08279275894165,85.16891431808472,3,3,0.6667,307783,58439,304555,249344,3228,runs/click/click_pr_2846/codex_cli/type_hints/rep_1/result.json,runs/click/click_pr_2846/codex_cli/type_hints/rep_1/metrics.json,2026-04-27T19:47:00.790116+00:00,runs/click/click_pr_2846/codex_cli/type_hints/rep_1/logs/agent_stdout.log,True,41,0,19,True,7,6,3,3,0,3,2,0,2,0,0,0,0,0.0,0.0
click,pallets/click,click_pr_2846,comments_docstrings,SUCCESS,oracle_pass,3,3,0,47,47,0,success,85.48624992370605,4.877538204193115,90.36378812789916,3,2,1.0,366286,63822,362733,302464,3553,runs/click/click_pr_2846/codex_cli/comments_docstrings/rep_1/result.json,runs/click/click_pr_2846/codex_cli/comments_docstrings/rep_1/metrics.json,2026-04-27T19:52:01.348245+00:00,runs/click/click_pr_2846/codex_cli/comments_docstrings/rep_1/logs/agent_stdout.log,True,47,0,19,True,7,8,3,3,0,4,3,0,3,0,0,2,0,0.0,0.0
click,pallets/click,click_pr_2846,remove_tests,SUCCESS,oracle_pass,3,3,0,47,47,0,success,170.8130042552948,4.823072671890259,175.63607692718506,3,5,0.4,499733,50709,493690,449024,6043,runs/click/click_pr_2846/codex_cli/remove_tests/rep_1/result.json,runs/click/click_pr_2846/codex_cli/remove_tests/rep_1/metrics.json,2026-04-27T19:54:57.011782+00:00,runs/click/click_pr_2846/codex_cli/remove_tests/rep_1/logs/agent_stdout.log,True,59,0,22,True,8,13,4,4,0,3,4,0,4,1,3,0,0,0.14285714285714285,0.25
click,pallets/click,click_pr_3004,clean,FAIL,oracle_fail,5,5,0,293,295,2,pass_to_pass_failed,174.17262148857117,5.01483678817749,179.18745827674866,3,4,0.75,724187,50651,716846,673536,7341,runs/click/click_pr_3004/codex_cli/clean/rep_1/result.json,runs/click/click_pr_3004/codex_cli/clean/rep_1/metrics.json,2026-04-27T20:15:06.754019+00:00,runs/click/click_pr_3004/codex_cli/clean/rep_1/logs/agent_stdout.log,True,81,0,27,True,11,17,3,7,0,6,6,0,6,2,3,4,2,0.10714285714285714,0.3333333333333333
click,pallets/click,click_pr_3004,naming,FAIL,oracle_fail,5,5,0,293,295,2,pass_to_pass_failed,414.241956949234,19.893906831741333,434.13586378097534,2,4,0.5,3528531,130259,3513465,3398272,15066,runs/click/click_pr_3004/codex_cli/naming/rep_1/result.json,runs/click/click_pr_3004/codex_cli/naming/rep_1/metrics.json,2026-04-27T20:25:50.464871+00:00,runs/click/click_pr_3004/codex_cli/naming/rep_1/logs/agent_stdout.log,True,136,0,31,True,13,39,3,6,0,10,9,0,9,5,8,8,5,0.15384615384615385,0.5555555555555556
click,pallets/click,click_pr_3004,type_hints,FAIL,oracle_fail,5,5,0,293,295,2,pass_to_pass_failed,203.8103528022766,5.706307888031006,209.5166606903076,3,5,0.6,1039674,60986,1031248,978688,8426,runs/click/click_pr_3004/codex_cli/type_hints/rep_1/result.json,runs/click/click_pr_3004/codex_cli/type_hints/rep_1/metrics.json,2026-04-27T20:18:36.299275+00:00,runs/click/click_pr_3004/codex_cli/type_hints/rep_1/logs/agent_stdout.log,True,96,0,33,True,14,24,3,4,0,5,7,0,7,1,3,5,1,0.07894736842105263,0.14285714285714285
click,pallets/click,click_pr_3004,comments_docstrings,SUCCESS,oracle_pass,5,5,0,295,295,0,success,147.89169597625732,5.193171501159668,153.084867477417,2,4,0.5,520509,70717,514358,449792,6151,runs/click/click_pr_3004/codex_cli/comments_docstrings/rep_1/result.json,runs/click/click_pr_3004/codex_cli/comments_docstrings/rep_1/metrics.json,2026-04-27T20:28:23.588592+00:00,runs/click/click_pr_3004/codex_cli/comments_docstrings/rep_1/logs/agent_stdout.log,True,60,0,26,True,10,10,4,5,0,4,5,0,5,2,3,2,2,0.15,0.4
click,pallets/click,click_pr_3004,remove_tests,FAIL,oracle_fail,5,5,0,293,295,2,pass_to_pass_failed,183.83289289474487,5.324728488922119,189.157621383667,2,3,0.6667,769452,67244,760913,702208,8539,runs/click/click_pr_3004/codex_cli/remove_tests/rep_1/result.json,runs/click/click_pr_3004/codex_cli/remove_tests/rep_1/metrics.json,2026-04-27T20:31:32.788931+00:00,runs/click/click_pr_3004/codex_cli/remove_tests/rep_1/logs/agent_stdout.log,True,91,0,37,True,16,21,3,5,0,3,8,0,8,2,5,7,2,0.13513513513513514,0.25
copier,copier-org/copier,copier_pr_2432,clean,SUCCESS,oracle_pass,1,1,0,52,52,0,success,295.57617926597595,32.55080032348633,328.1269795894623,2,4,0.5,741003,84491,732907,656512,8096,runs/copier/copier_pr_2432/codex_cli/clean/rep_1/result.json,runs/copier/copier_pr_2432/codex_cli/clean/rep_1/metrics.json,2026-04-28T06:34:58.135311+00:00,runs/copier/copier_pr_2432/codex_cli/clean/rep_1/logs/agent_stdout.log,True,81,0,39,True,17,15,3,5,0,3,2,0,2,2,3,2,2,0.09375,1.0
copier,copier-org/copier,copier_pr_2432,naming,FAIL,oracle_fail,0,1,1,1,52,51,focal_and_regression_failure,155.14249801635742,35.472432136535645,190.61493015289307,2,4,0.5,824969,106505,818760,718464,6209,runs/copier/copier_pr_2432/codex_cli/naming/rep_1/result.json,runs/copier/copier_pr_2432/codex_cli/naming/rep_1/metrics.json,2026-04-28T06:43:21.255716+00:00,runs/copier/copier_pr_2432/codex_cli/naming/rep_1/logs/agent_stdout.log,True,70,0,34,True,14,12,4,5,0,3,2,0,2,2,2,0,0,0.07692307692307693,1.0
copier,copier-org/copier,copier_pr_2432,type_hints,SUCCESS,oracle_pass,1,1,0,52,52,0,success,278.7453410625458,33.6881799697876,312.4335210323334,2,4,0.5,1090320,121232,1081413,969088,8907,runs/copier/copier_pr_2432/codex_cli/type_hints/rep_1/result.json,runs/copier/copier_pr_2432/codex_cli/type_hints/rep_1/metrics.json,2026-04-28T06:40:10.606540+00:00,runs/copier/copier_pr_2432/codex_cli/type_hints/rep_1/logs/agent_stdout.log,True,78,0,30,True,12,19,4,5,0,2,6,1,5,2,2,0,0,0.06451612903225806,0.3333333333333333
copier,copier-org/copier,copier_pr_2432,comments_docstrings,SUCCESS,oracle_pass,1,1,0,52,52,0,success,285.6260447502136,31.68799090385437,317.314035654068,2,5,0.4,1546650,152730,1534780,1393920,11870,runs/copier/copier_pr_2432/codex_cli/comments_docstrings/rep_1/result.json,runs/copier/copier_pr_2432/codex_cli/comments_docstrings/rep_1/metrics.json,2026-04-28T06:48:38.603533+00:00,runs/copier/copier_pr_2432/codex_cli/comments_docstrings/rep_1/logs/agent_stdout.log,True,115,0,44,True,19,26,4,4,0,7,5,0,5,3,6,5,3,0.13333333333333333,0.6
copier,copier-org/copier,copier_pr_2432,remove_tests,SUCCESS,oracle_pass,1,1,0,52,52,0,success,166.422865152359,27.25892186164856,193.6817870140076,1,4,0.25,458735,71151,451745,387584,6990,runs/copier/copier_pr_2432/codex_cli/remove_tests/rep_1/result.json,runs/copier/copier_pr_2432/codex_cli/remove_tests/rep_1/metrics.json,2026-04-28T06:51:52.331043+00:00,runs/copier/copier_pr_2432/codex_cli/remove_tests/rep_1/logs/agent_stdout.log,True,85,0,32,True,13,22,4,6,0,1,3,0,3,3,4,0,0,0.11428571428571428,1.0
copier,copier-org/copier,copier_pr_2587,clean,FAIL,oracle_fail,2,3,1,1,1,0,focal_failure,245.0280225276947,15.540292263031006,260.5683147907257,3,11,0.3636,1297114,145370,1286791,1151744,10323,runs/copier/copier_pr_2587/codex_cli/clean/rep_1/result.json,runs/copier/copier_pr_2587/codex_cli/clean/rep_1/metrics.json,2026-04-28T06:56:12.931137+00:00,runs/copier/copier_pr_2587/codex_cli/clean/rep_1/logs/agent_stdout.log,True,111,0,40,True,17,26,4,4,0,7,3,0,3,3,5,3,3,0.11627906976744186,1.0
copier,copier-org/copier,copier_pr_2587,naming,FAIL,oracle_fail,0,3,3,1,1,0,focal_failure,337.6609733104706,16.662392139434814,354.3233654499054,3,6,0.5,1776022,117910,1765295,1658112,10727,runs/copier/copier_pr_2587/codex_cli/naming/rep_1/result.json,runs/copier/copier_pr_2587/codex_cli/naming/rep_1/metrics.json,2026-04-28T07:06:28.088304+00:00,runs/copier/copier_pr_2587/codex_cli/naming/rep_1/logs/agent_stdout.log,True,117,0,47,True,21,26,3,5,0,6,10,0,10,6,7,9,6,0.14893617021276595,0.6
copier,copier-org/copier,copier_pr_2587,type_hints,FAIL,oracle_fail,2,3,1,1,1,0,focal_failure,243.54071354866028,17.174270391464233,260.7149839401245,3,9,0.3333,1252458,124650,1243004,1127808,9454,runs/copier/copier_pr_2587/codex_cli/type_hints/rep_1/result.json,runs/copier/copier_pr_2587/codex_cli/type_hints/rep_1/metrics.json,2026-04-28T07:00:33.717061+00:00,runs/copier/copier_pr_2587/codex_cli/type_hints/rep_1/logs/agent_stdout.log,True,105,0,49,True,21,21,3,5,0,4,5,0,5,2,4,5,2,0.09523809523809523,0.4
copier,copier-org/copier,copier_pr_2587,comments_docstrings,FAIL,oracle_fail,0,3,3,1,1,0,focal_failure,263.602823972702,16.21534752845764,279.81817150115967,3,7,0.4286,1361480,125000,1351058,1236480,10422,runs/copier/copier_pr_2587/codex_cli/comments_docstrings/rep_1/result.json,runs/copier/copier_pr_2587/codex_cli/comments_docstrings/rep_1/metrics.json,2026-04-28T07:11:07.954733+00:00,runs/copier/copier_pr_2587/codex_cli/comments_docstrings/rep_1/logs/agent_stdout.log,True,125,0,53,True,19,20,3,7,0,5,3,0,3,2,3,3,2,0.07692307692307693,0.6666666666666666
copier,copier-org/copier,copier_pr_2587,remove_tests,FAIL,oracle_fail,0,3,3,1,1,0,focal_failure,180.98494458198547,12.299487590789797,193.28443217277527,2,7,0.4286,789256,99080,781537,690176,7719,runs/copier/copier_pr_2587/codex_cli/remove_tests/rep_1/result.json,runs/copier/copier_pr_2587/codex_cli/remove_tests/rep_1/metrics.json,2026-04-28T07:14:21.276533+00:00,runs/copier/copier_pr_2587/codex_cli/remove_tests/rep_1/logs/agent_stdout.log,True,81,0,31,True,13,18,3,7,0,3,5,0,5,3,4,5,3,0.12903225806451613,0.6
copier,copier-org/copier,copier_pr_2605,clean,SUCCESS,oracle_pass,4,4,0,58,58,0,success,412.1830389499664,33.71269512176514,445.8957340717316,3,7,0.4286,2207283,103475,2192858,2103808,14425,runs/copier/copier_pr_2605/codex_cli/clean/rep_1/result.json,runs/copier/copier_pr_2605/codex_cli/clean/rep_1/metrics.json,2026-04-28T06:07:46.037682+00:00,runs/copier/copier_pr_2605/codex_cli/clean/rep_1/logs/agent_stdout.log,True,122,0,49,True,22,28,3,6,0,5,6,0,6,4,5,6,4,0.1,0.6666666666666666
