repo,instance_id,condition,total_tokens_corrected_delta
pydata/xarray,pydata__xarray-4629,naming,194022
pydata/xarray,pydata__xarray-4629,type_hints,58772
pydata/xarray,pydata__xarray-4629,comments_docstrings,218409
pydata/xarray,pydata__xarray-4629,remove_tests,-9195
pydata/xarray,pydata__xarray-4966,naming,471093
pydata/xarray,pydata__xarray-4966,type_hints,159467
pydata/xarray,pydata__xarray-4966,comments_docstrings,95433
pydata/xarray,pydata__xarray-4966,remove_tests,-1508
sympy/sympy,sympy__sympy-11618,naming,-5543
sympy/sympy,sympy__sympy-11618,comments_docstrings,-6398
sympy/sympy,sympy__sympy-11618,remove_tests,488807
sympy/sympy,sympy__sympy-11618,type_hints,-167411
sympy/sympy,sympy__sympy-12096,naming,824686
sympy/sympy,sympy__sympy-12096,comments_docstrings,543894
sympy/sympy,sympy__sympy-12096,remove_tests,138934
sympy/sympy,sympy__sympy-12096,type_hints,-309104
sympy/sympy,sympy__sympy-12419,naming,202821
sympy/sympy,sympy__sympy-12419,comments_docstrings,1006945
sympy/sympy,sympy__sympy-12419,remove_tests,176285
sympy/sympy,sympy__sympy-12419,type_hints,124949
django/django,django__django-16502,naming,783991
django/django,django__django-16502,comments_docstrings,-590973
django/django,django__django-16502,remove_tests,428916
django/django,django__django-16502,type_hints,-70911
django/django,django__django-16527,naming,238799
django/django,django__django-16527,comments_docstrings,317279
django/django,django__django-16527,remove_tests,390433
django/django,django__django-16527,type_hints,-269709
django/django,django__django-16631,naming,-202482
django/django,django__django-16631,comments_docstrings,203218
django/django,django__django-16631,remove_tests,-675973
django/django,django__django-16631,type_hints,271561
psf/requests,psf__requests-1142,naming,165431
psf/requests,psf__requests-1142,comments_docstrings,396950
psf/requests,psf__requests-1142,remove_tests,-10272
psf/requests,psf__requests-1142,type_hints,-10214
psf/requests,psf__requests-1724,naming,170381
psf/requests,psf__requests-1724,comments_docstrings,298006
psf/requests,psf__requests-1724,remove_tests,-210068
psf/requests,psf__requests-1724,type_hints,19224
psf/requests,psf__requests-1921,naming,87581
psf/requests,psf__requests-1921,comments_docstrings,-95490
psf/requests,psf__requests-1921,remove_tests,-465673
psf/requests,psf__requests-1921,type_hints,-32786
matplotlib/matplotlib,matplotlib__matplotlib-20676,naming,426868
matplotlib/matplotlib,matplotlib__matplotlib-20676,comments_docstrings,1111918
matplotlib/matplotlib,matplotlib__matplotlib-20676,remove_tests,-313381
matplotlib/matplotlib,matplotlib__matplotlib-20676,type_hints,-146668
matplotlib/matplotlib,matplotlib__matplotlib-23412,naming,1302387
matplotlib/matplotlib,matplotlib__matplotlib-23412,type_hints,-6648
matplotlib/matplotlib,matplotlib__matplotlib-23412,comments_docstrings,18739
matplotlib/matplotlib,matplotlib__matplotlib-23412,remove_tests,194785
matplotlib/matplotlib,matplotlib__matplotlib-26291,naming,289762
matplotlib/matplotlib,matplotlib__matplotlib-26291,type_hints,-15770
matplotlib/matplotlib,matplotlib__matplotlib-26291,comments_docstrings,-2
matplotlib/matplotlib,matplotlib__matplotlib-26291,remove_tests,358627
pylint-dev/pylint,pylint-dev__pylint-4970,naming,617191
pylint-dev/pylint,pylint-dev__pylint-4970,type_hints,-348794
pylint-dev/pylint,pylint-dev__pylint-4970,comments_docstrings,442146
pylint-dev/pylint,pylint-dev__pylint-4970,remove_tests,-457104
pylint-dev/pylint,pylint-dev__pylint-6903,naming,156967
pylint-dev/pylint,pylint-dev__pylint-6903,type_hints,-34395
pylint-dev/pylint,pylint-dev__pylint-6903,comments_docstrings,211963
pylint-dev/pylint,pylint-dev__pylint-6903,remove_tests,-179190
pylint-dev/pylint,pylint-dev__pylint-4604,naming,316627
pylint-dev/pylint,pylint-dev__pylint-4604,type_hints,-543644
pylint-dev/pylint,pylint-dev__pylint-4604,comments_docstrings,33543
pylint-dev/pylint,pylint-dev__pylint-4604,remove_tests,44855
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,type_hints,-6629
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,comments_docstrings,41758
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,remove_tests,-441090
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,naming,244183
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,type_hints,-35887
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,comments_docstrings,258612
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,remove_tests,112112
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,naming,202126
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,type_hints,-25446
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,comments_docstrings,53988
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973,remove_tests,371229
astropy/astropy,astropy__astropy-14365,naming,-242065
astropy/astropy,astropy__astropy-14365,type_hints,223237
astropy/astropy,astropy__astropy-14365,comments_docstrings,126758
astropy/astropy,astropy__astropy-14365,remove_tests,87521
astropy/astropy,astropy__astropy-14182,naming,311568
astropy/astropy,astropy__astropy-14182,type_hints,276146
astropy/astropy,astropy__astropy-14182,comments_docstrings,99260
astropy/astropy,astropy__astropy-14182,remove_tests,187209
astropy/astropy,astropy__astropy-14539,naming,1323511
astropy/astropy,astropy__astropy-14539,type_hints,-104272
astropy/astropy,astropy__astropy-14539,comments_docstrings,-22507
astropy/astropy,astropy__astropy-14539,remove_tests,-53461
