repo,repo_full,candidate_id,n,success,fail,hidden_bug_fix_test_failures_total,previously_passing_test_failures_total,mean_total_duration_seconds,mean_total_tokens_including_cache,success_rate,candidate_path,pr_number,title,created_at,files_changed,source_files,test_files
httpx,encode/httpx,httpx_pr_2423,5,4,1,0,26,259.1122,658806.8,0.8,candidates/httpx_pr_2423.json,2423,"Change LineDecoder to match stdlib splitlines, resulting in significant speed up",2023-03-16T14:29:15Z,3,httpx/_decoders.py,tests/models/test_responses.py; tests/test_decoders.py
marshmallow,marshmallow-code/marshmallow,marshmallow_pr_2772,5,4,1,0,165,223.5938,849956.6,0.8,candidates/marshmallow_pr_2772.json,2772,Check for fields declared as instances at class declaration rather than at instantiation,2025-01-13T21:17:26Z,4,src/marshmallow/schema.py; src/marshmallow/utils.py,tests/test_schema.py
pydantic-settings,pydantic/pydantic-settings,pydantic-settings_pr_780,5,4,1,1,184,378.3759,1643362.0,0.8,candidates/pydantic-settings_pr_780.json,780,Fix JSON decoding for parameterized PEP 695 type aliases,2026-02-18T08:22:43Z,3,pydantic_settings/sources/base.py; pydantic_settings/sources/utils.py,tests/test_settings.py
starlette,encode/starlette,starlette_pr_2400,5,4,1,0,8,368.1058,1443559.2,0.8,candidates/starlette_pr_2400.json,2400,♻️ Refactor logic to handle `root_path` to keep compatibility with ASGI and compatibility with other non-Starlette-specific libraries like a2wsgi,2024-01-09T04:45:30Z,8,starlette/_utils.py; starlette/datastructures.py; starlette/middleware/wsgi.py; starlette/requests.py; starlette/routing.py; starlette/staticfiles.py,tests/middleware/test_wsgi.py; tests/test_routing.py
structlog,hynek/structlog,structlog_pr_489,5,4,1,2,0,522.332,1279344.6,0.8,candidates/structlog_pr_489.json,489,Fix missing exception info in aexception(),2023-02-10T15:33:33Z,3,src/structlog/_log_levels.py,tests/test_log_levels.py
uvicorn,encode/uvicorn,uvicorn_pr_2183,5,4,1,1,0,358.776,1450394.4,0.8,candidates/uvicorn_pr_2183.json,2183,New multiprocess manager,2024-05-28T06:59:03Z,5,uvicorn/supervisors/multiprocess.py,tests/supervisors/test_multiprocess.py
uvicorn,encode/uvicorn,uvicorn_pr_2561,5,4,1,1,0,171.2383,420599.0,0.8,candidates/uvicorn_pr_2561.json,2561,"Add socket path to `scope[""server""]`",2026-02-15T18:34:15Z,7,uvicorn/protocols/http/h11_impl.py; uvicorn/protocols/http/httptools_impl.py; uvicorn/protocols/utils.py; uvicorn/protocols/websockets/websockets_impl.py; uvicorn/protocols/websockets/websockets_sansio_impl.py; uvicorn/protocols/websockets/wsproto_impl.py,tests/protocols/test_utils.py
uvicorn,encode/uvicorn,uvicorn_pr_2829,5,4,1,4,0,303.3844,1116256.0,0.8,candidates/uvicorn_pr_2829.json,2829,🐛 Emit `http.disconnect` ASGI `receive()` event on server shutting down for streaming responses,2026-04-03T14:23:03Z,3,uvicorn/protocols/http/h11_impl.py; uvicorn/protocols/http/httptools_impl.py,tests/protocols/test_http.py
cattrs,python-attrs/cattrs,cattrs_pr_117,5,5,0,0,0,480.0707,1233766.2,1.0,candidates/cattrs_pr_117.json,117,fix MultiStrategyDispatch to work with new GenConverter and attrs inheritance,2021-01-25T12:07:35Z,4,src/cattr/converters.py; src/cattr/multistrategy_dispatch.py,tests/test_genconverter_inheritance.py
click,pallets/click,click_pr_2846,5,5,0,0,0,135.2798,480260.0,1.0,candidates/click_pr_2846.json,2846,Fix Zsh completions with colons,2025-07-21T19:35:04Z,3,src/click/shell_completion.py,tests/test_shell_completion.py
httpx,encode/httpx,httpx_pr_2535,5,5,0,0,0,565.1298,2340581.2,1.0,candidates/httpx_pr_2535.json,2535,Add `NetRCAuth()` class.,2023-01-12T11:27:47Z,10,httpx/__init__.py; httpx/_auth.py; httpx/_client.py; httpx/_utils.py,tests/client/test_auth.py; tests/client/test_properties.py; tests/fixtures/.netrc-nopassword; tests/test_utils.py
marshmallow,marshmallow-code/marshmallow,marshmallow_pr_1632,5,5,0,0,0,237.6733,1019332.8,1.0,candidates/marshmallow_pr_1632.json,1632,"Pass unknown parameter to pre_load, post_load, and validates_schema methods",2025-01-13T05:15:06Z,4,src/marshmallow/decorators.py; src/marshmallow/schema.py,tests/test_decorators.py
marshmallow,marshmallow-code/marshmallow,marshmallow_pr_2792,5,5,0,0,0,239.2786,985057.8,1.0,candidates/marshmallow_pr_2792.json,2792,Fix handling data_key in ValidationErrors raised in schema validators,2025-01-19T17:58:10Z,5,src/marshmallow/decorators.py; src/marshmallow/schema.py; src/marshmallow/types.py,tests/test_decorators.py
pip-tools,jazzband/pip-tools,pip-tools_pr_1582,5,5,0,0,0,145.4375,383291.8,1.0,candidates/pip-tools_pr_1582.json,1582,Direct references show extra requirements in .txt files,2023-08-07T11:13:45Z,3,piptools/utils.py,tests/test_cli_compile.py; tests/test_utils.py
starlette,encode/starlette,starlette_pr_2194,5,5,0,0,0,226.8069,549062.6,1.0,candidates/starlette_pr_2194.json,2194,Stop `body_stream` in case `more_body=False`,2023-07-13T07:48:10Z,2,starlette/middleware/base.py,tests/middleware/test_base.py
structlog,hynek/structlog,structlog_pr_483,5,5,0,0,0,170.2666,630854.0,1.0,candidates/structlog_pr_483.json,483,Correctly figure out exc_info in ConsoleRenderer.,2023-02-06T09:31:03Z,3,src/structlog/dev.py,tests/test_dev.py
structlog,hynek/structlog,structlog_pr_713,5,5,0,0,0,237.0851,444872.4,1.0,candidates/structlog_pr_713.json,713,TimeStamper now returns UTC timezone for custom format string.,2025-04-25T15:38:03Z,3,src/structlog/processors.py,tests/processors/test_renderers.py
